,no,title,publication date,subject,journal,DOI,author,abstract,from_database,tfidf_score
2603,3061,[Ignatius of Loyola--gifted or mentally ill?].,,,Fortschritte der Neurologie-Psychiatrie,,,"Subsequent to a severe injury and under the influence of religious reading, Loyola experienced a dramatic mental change in his spiritual values in the sense of a sublimation to an alternative knighthood. His behaviour patterns observed thereafter were determined by a totality of his attachment to God. Based on this certainty in his faith, which was free from any doubts, and on God, and with the background of fasting and praying, he had visionary and pseudo-hallucinatory experiences. As the founder of an order and head of the community of Jesuits, Ignatius of Loyola proved to be diplomatically highly talented. There is no evidence of any psychotic disease. Also, there is no probability of a personality disorder in the sense of a neurosis. The numerous unusual behaviour patterns of Ignatius cannot be interpreted as psychopathological symptoms. It is justified to call him a genius.",pubmed,0.7646171437676357
4889,5347,Abstract thinking and object relations with special reference to the use of abstraction as a regressive defense in highly gifted individuals.,,,Journal of the American Psychoanalytic Association,,,,pubmed,0.7589014729576519
5056,7517,The intervening role of alexithymia in the relationship between attachment styles and test anxiety among gifted high school students,2015,,Korean journal of …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4515510/,"E Sepahvand, A Zakiei, K Rafieian…","Background Given the importance of test anxiety among gifted students, the present study was conducted to assess the intervening role of alexithymia in the relationship between test anxiety and attachment styles. Methods By means of simple random sampling, 300 …",google_scholar,0.7545127174856322
5058,7522,The relationship between attachment style and perception of parental affection with test anxiety in gifted students,2015,,Pajoohandeh …,http://eprints.skums.ac.ir/5639/,"O Mohamadi, F Dehghan, A Zakiei…","Background and Aim: Given the importance of test anxiety among gifted students, the present research was conducted to study the relationship between perception of parent's affection and attachment styles with test anxiety. Materials and Methods: By means of simple …",google_scholar,0.7035548998659137
5086,7586,The relation of parental attachment and psychosocial functioning in artistically gifted adolescents,2005,,,https://search.proquest.com/openview/d05aaaa3f0da9a3fcca5973016c308f9/1?pq-origsite=gscholar&cbl=18750&diss=y,JA Lindsay,"This study examined the relationship between parental attachment and psychological distress among 45 artistically gifted adolescents. Adolescence is a time of normative developmental stress, but for artistically gifted students the developmental challenges of …",google_scholar,0.6637052231167432
5154,7868,"Differences in academic, affect, competence, and social self-concepts in homogeneously and heterogeneously grouped gifted students",2010,,,https://libres.uncg.edu/ir/wcu/f/hamm2010.pdf,CJ Hamm,"… (Gallagher, 1997). Psychosocial Implications for Gifted Students Peer relationships are an
important part of the psychosocial development of all … A study of college students found that
perceived attachment to peers or parents was positively correlated with academic …",google_scholar,0.5847179961737736
5206,8032,Parent and peer attachment relationships and time perspective in adolescence: Are they related to satisfaction with life?,2016,,Time & …,10.1177/0961463x15577282,"F Laghi, S Pallini, E Baumgartner, A Guarino…","… Download article citation data for: Parent and peer attachment relationships and time perspective
in adolescence: Are they related to satisfaction with life … Parent and peer attachment relationships
and time perspective in adolescence: Are they related to satisfaction with life …",google_scholar,0.5761675971062523
2,81,"Testing, Identifying, and Serving Gifted Children With and Without Disabilities: A Multi-State Parental Perspective",2021-04-01 00:00:00,,,10.1177/1076217520986589,"{'ORCID': 'http://orcid.org/0000-0002-8947-5728', 'authenticated-orcid': False, 'given': 'Dawn L.', 'family': 'Mollenkopf', 'sequence': 'first', 'affiliation': [{'name': 'University of Nebraska at Kearney'}]}","<jats:p> Early identification of gifted children, including those twice-exceptional, allows schools and parents to support these children’s needs, but little is known about this early identification process and the role parents and teachers play. Parents of gifted children completed a survey which looked at what age their child was tested and identified, whether or not the parent suspected that the child was gifted, who referred the child for testing, and whether or not their child was twice-exceptional. Schools tested, identified, and started services for gifted children in the early elementary grades, usually between 5 and 6 years of age. Most parents identified giftedness in their children by age 2. Parents were also the most frequent person to refer their child for testing, although teachers also placed a strong role. Twice-exceptional children did not differ significantly from gifted children on any of these measures. Implication for further study are included. </jats:p>",crossref,0.5656169403271353
5140,7828,Metaphorical Perceptions and Views of Teachers About Gifted and Talented Students and Their Education,,,,https://dergipark.org.tr/en/pub/cije/issue/50809/543321,"HG ORHAN-KARSAK, B GİDER","… Cognitive areas are developed. Psychomotor abilities of gifted children are more
developed … They have the skills of questioning, strong observation, independent
thinking, and attachment to people and objects by research …",google_scholar,0.5630541857204394
5152,7861,Support for parents of gifted and talented children in the western region of Melbourne,2014,,,http://vuir.vu.edu.au/28811/,SA Free,"… These include parenting attachment, parenting behaviours, the biological and social
aspects of parenting … individuation will also be investigated. Chapter four focuses on
the difficulties parents of gifted children have with child rearing …",google_scholar,0.5613289714353559
5057,7518,Attachment styles in gifted children can creativity be correlated?,2009,,Sakarya Üniversitesi Eğitim Fakültesi …,https://dergipark.org.tr/en/pub/sakaefd/issue/11213/133911,"E ASLAN, S İMAMOĞLU","In this research, intelligence factor was used as a separative element and the relationship between the attachment styles and the creative skills was examined. In addition, the effects of some demographic variables concerning gender and family profile on creativity and …",google_scholar,0.5451578909553866
33,416,Understanding the association between parental attachment and loneliness among adolescents: The mediating role of self-esteem,,General Psychology,,10.1007/s12144-021-01417-z,"{'ORCID': 'http://orcid.org/0000-0003-0458-3437', 'authenticated-orcid': False, 'given': 'Ali', 'family': 'Karababa', 'sequence': 'first', 'affiliation': []}",,crossref,0.5416530837154208
5127,7776,The social-emotional well-being of the gifted child and perceptions of parent and teacher social support,2018,,,https://eprints.qut.edu.au/118198,KA Wright-Scott,"… Research question 5: How do parents and teachers of gifted children perceive their role to support
the SEWB of the gifted child both individually and through their … From an evolutionary perspective,
humans are the only social species with an attachment-instinct system …",google_scholar,0.5352043532188855
5070,7547,Depressive disorder in highly gifted adolescents,2003,,Journal of Secondary Gifted …,10.4219/jsge-2003-429,"PS Jackson, J Peterson","… 1979). A well-estab- lished mother-infant attachment bond provides solid footing for
the child's further development. Children … environment. Depression and Highly Gifted
Adolescents: A Review of Literature and Clinical Data Common …",google_scholar,0.5347259399528882
5224,8094,Parental Influence on the Development of Gifted Asian American High School Students,1999,,,https://search.proquest.com/openview/33022f414600d151f1acd2a969555f12/1?pq-origsite=gscholar&cbl=2026366&diss=y,S Di,"'When we were very young': Experiences of young gifted children transitioning to a formal learning
environment … This thesis presents the findings of a study that investigated the cognitive, social
and emotional experiences of seven young gifted children as they adjusted to a …",google_scholar,0.53120198905314
5064,7532,"Big Five personality factors, perceived parenting styles, and perfectionism among academically gifted students",2014,,Asian Social Science,10.1.1.821.599&rep=rep1,"Z Basirion, R Abd Majid, ZM Jelas","… The different impact of fathers and mothers parenting styles on academically gifted students in
this study may partly be explained by the effect of maternal depression and attachment problems
on gifted children's socio-emotional adjustment (Wellisch, Brown, & Knight, 2012) …",google_scholar,0.5273456745821307
5229,8119,The effect of parenting choices on the academic success of gifted high school students,2009,,,https://search.proquest.com/openview/04bb4de98c11702e72cfdc96e5c86ec5/1?pq-origsite=gscholar&cbl=18750&diss=y,SL Lehtihalme,"… the children develop effective problem solving skills. A concern for the gifted student population
is the parental communication in developing a performance goal versus a learning goal … But that
involvement should include warmth, quality attachment, and reciprocity which …",google_scholar,0.5102414496708911
5198,7983,in Highly Gifted Adolescents,,,,https://www.positivedisintegration.com/Jackson2003.pdf,PS Jackson,"… A well-estab- lished mother-infant attachment bond provides solid footing for the child's further
development … Depression and Highly Gifted Adolescents: A Review of Literature and Clinical
Data Common Traits of Highly Gifted lndividuals Lists of common traits of highly gifted …",google_scholar,0.5030186892611955
5116,7715,"The role of media figures in adolescent development: Relations between autonomy, attachment, and interest in celebrities",2004,,Personality and individual differences,https://www.sciencedirect.com/science/article/pii/S0191886903001545,"DC Giles, J Maltby","… Elsevier. Personality and Individual Differences. Volume 36, Issue 4, March 2004, Pages
813-822. Personality and Individual Differences. The role of media figures in adolescent
development: relations between autonomy, attachment, and interest in celebrities … 1.2.3 …",google_scholar,0.4959052114100464
5062,7528,Gifted high-school students' perspectives on the development of perfectionism,2009,,Roeper Review,10.1080/02783190903177564,"KL Speirs Neumeister, KK Williams, TL Cross","… environment and the child's attachment style, personality, temperament, and ability level. As more
research studies are conducted that test theoretical models, a more comprehensive understanding
of how different types of perfectionism develop within gifted students will be …",google_scholar,0.49205373434228544
5228,8115,… of Advanced Cognitive Ability on the Development of Psychological Defenses and in Understanding and Managing Affect: A Study of Latency-aged Gifted …,2014,,,http://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1373&context=gc_etds,KI Robinson,"… students. The areas of functioning to be explored in this study, along with variables such as
attachment classification, biological makeup and culture are among those that may also … complexity
of emotional life in gifted children. In addition, the continued contribution of EI …",google_scholar,0.4898311842224923
5095,7616,… AÇISINDAN INCELENMESI*/INVESTIGATION OF THE RELATIONSHIP BETWEEN THE TERMS OF GIFTED CHILDREN'S ATTACHMENT STYLE AND LEADERSHIP …,2016,,Hasan Ali Yücel Egitim …,https://search.proquest.com/openview/a500454311c7496aaaa7d92a5222c38b/1?pq-origsite=gscholar&cbl=1796367,"A Gülbahçe, SK Çetinkaya…",The purpose of this study is to investigate the relationship between the attachment style and leadership skills of the gifted students at the Science and Art Center in terms of different kinds of variables. The universe of this study includes 153 gifted children who are educated …,google_scholar,0.485172107392884
5049,7508,Gifted adolescents: An analysis of their psychosocial development,1983,,Journal of Youth and Adolescence,10.1007/BF02092110,"FJ Mönks, TJ Ferguson","… Our second goal was to review research focusing on gifted adolescents, with the hope of
describing actual or potential coping problems encountered by the gifted adolescent. Not all of
the literature (eg, sexuality, attachment) lent itself to such an assessment, and only equivocal …",google_scholar,0.47656439623663654
5055,7515,"The relationship between parental attachment, spiritual intelligence and gender with psychological well-being in gifted students",2018,,Journal of School …,http://jsp.uma.ac.ir/mobile/article_609.html?lang=en,"F Nosrati, A Rahimi-Nejad…","The purpose of the present study was to investigate the relationship between attachment style to parents, spiritual intelligence and gender with psychological well-being in gifted students. The population of this research included all the gifted students of Qom in the …",google_scholar,0.4754459777722337
5200,8006,De ressive Disorder in High y Gifted Adolescents,,,,https://www.researchgate.net/profile/Jean_Peterson/publication/253854162_Depressive_Disorder_in_Highly_Gifted_Adolescents/links/55d7c89f08aed6a199a6959b.pdf,"PS Jockson, J Peterson","… A Well-estab— lished morher-infant attachment bond provides solid footing for the child's further
development … Depression and Highly Gifted Adolescents: A Review of Literature and Clinical
Dale: Common Trolls of Highly Gifted Individuals Lists of common traits of highly gifted …",google_scholar,0.47395261745672485
5201,8010,Attachment in group psychotherapy,2019,,,https://books.google.com/books?hl=en&lr=&id=6vrDDwAAQBAJ&oi=fnd&pg=PT8&dq=gifted+attachment&ots=ndNF2pOQFd&sig=_DRMHHP3ZEgPKcfshi1jcgVxT-U,CL Marmarosh,"… and Page 19. practice. These gifted authors provide a glimpse into the possibilities
for integration and the development of clinical techniques that emerge when we apply
attachment theory to group psychotherapy. The potential …",google_scholar,0.47348460869904047
5173,7916,"Depression, Anxiety, and Maladaptive Perfectionism Symptoms Among Elementary Gifted Students in Three Educational Settings",2011,,,https://search.proquest.com/openview/fa274ea0bb7620609265df8b1ce67959/1?pq-origsite=gscholar&cbl=18750&diss=y,CS Boyle,"… Abstract Depression, Anxiety, and Maladaptive Perfectionism Symptoms Among Elementary
Gifted Students in Three Educational Settings by Colleen S. Boyle … Page 3. Page 4. Abstract
Children identified as gifted develop in one or more areas at a rate atypical of age peers …",google_scholar,0.4728671405164813
5204,8021,Academically gifted adults' experience as students in mainstream rural high school classrooms,2016,,,https://search.proquest.com/openview/5e1b60fb5aebca25826291138435c04c/1?pq-origsite=gscholar&cbl=18750&diss=y,DA Steber,"Page 1. ACADEMICALLY GIFTED ADULTS' EXPERIENCE AS STUDENTS IN … Page 4. Abstract
The generic qualitative study was conducted to answer the research question, “What is the
experience of adults who, as academically gifted students, participated in …",google_scholar,0.4694383554725569
5047,7506,Secure attachment and high IQ: Are gifted children better adjusted?,2011,,… Journal of Gifted …,10.3316/ielapa.063826168764345,"M Wellisch, J Brown, A Taylor, R Knight…","Research indicates that securely attached children have advanced language skills and are well adjusted, whereas insecurely attached children often have ongoing problems that include learning disabilities, and psychological and behavioural problems. Interestingly …",google_scholar,0.4649709838598504
5100,7646,Using the TASC model to develop gifted students' creativity: Analytical review,2018,,Journal for the Education of Gifted Young …,https://dergipark.org.tr/en/pub/jegys/issue/39595/457048,AA ALHUSAİNİ,"… an experimental study in which the TASC model was used in science to assess whether the model
would improve gifted students' thinking … Faulkner found that the students who recognized the
models as “belonging” to them had an emotional attachment to the work and that they …",google_scholar,0.46196714730043476
5171,7907,The moral judgment of gifted adolescents,2007,,,https://search.proquest.com/openview/3f38e4d44c5a0fbd9d78ead2ee56df8e/1?pq-origsite=gscholar&cbl=18750&diss=y,AE Lewis,"… Dubon, M. (2014). A comparison between gifted and typical students in their emotion performance …
Emotion regulation strategy use in children and adolescents; the explanatory roles of personality
and attachment. Personality and individual differences, 52, 616-621 …",google_scholar,0.4595778787409928
5194,7975,Iranian Journal of Educational Sociology,,,,https://iase-idje.ir/article-1-925-en.pdf,"S Goudarzi, MG Lavasani, M AmiriMajd","… Therefore, in order to improve the mental state and especially the anxiety disorder and behavior
of gifted adolescents, an attachment-based family therapy program can be used. Keywords: Family
therapy based on attachment, Anxiety, Conduct, Gifted Adolescents …",google_scholar,0.4586384120957768
12,156,"Social Support, Attachment Closeness, and Self-Esteem Affect Depression in International Students in China",,General Psychology,,10.3389/fpsyg.2021.618105,"{'given': 'Yawen', 'family': 'Li', 'sequence': 'first', 'affiliation': []}","<jats:p>With an increase in the number of international students in China, there has been a simultaneous increase in their emotional problems, such as depression, as well as the importance of their emotional well-being. This study aimed to investigate the influence of social support on depression and the mediation and moderation mechanisms of this relationship in international students. In total, 349 international students in China responded to a questionnaire survey comprising the Social Support Rating Scale, Self-rating Depression Scale, Adult Attachment Scale, and Self-Esteem Scale. The results showed that: (1) attachment closeness had a significant direct predictive effect on depression; (2) attachment closeness played a mediating role in the relationship between social support and depression; and (3) the direct effect of social support on depression and the mediating effect of attachment and closeness are regulated by self-esteem. Therefore, interventions aimed at improving the social support, attachment closeness, and self-esteem of international students in China can be effective in reducing their depressive symptoms.</jats:p>",crossref,0.4542363510121416
5156,7875,Increasing diversity in gifted education: Research-based strategies for identification and program services,2015,,2015 - Sourcebooks,,"M Felder, G Taradash, E Antoine, MC Ricci, M Stemple…","… Stress among Gifted and Talented School Students … performance. The purpose of this
study was to determine the effect of intervention based on Dweck's mind set on academic
expectations stress among gifted and talented school students …",google_scholar,0.45419724937201744
5087,7591,… WAS THE EXAMINATION OF RELATION BETWEEN ATTACHMENT QUALITY AND PARENTING STYLES IN NORMAL AND GIFTED STUDENT'S PARENTS IN …,2012,,,https://www.sid.ir/en/journal/ViewPaper.aspx?ID=419347,"BB GHOBARI, M SALEHI, HA GALBANDI",The aim of this study was the examination of relation between attachment quality and parenting styles in normal and gifted student's parents in Rasht city. Population in this study was normal and gifted student's parents in Rasht city. Simple were 536 parents and selected …,google_scholar,0.45387041928372684
5238,8146,"Attachment, self-esteem and test anxiety in adolescence and early adulthood",2014,,Educational Psychology,10.1080/01443410.2013.814191,"O Dan, O Bar Ilan, J Kurman","… Views. 10. CrossRef citations to date. Altmetric. Listen. Articles. Attachment, self-esteem
and test anxiety in adolescence and early adulthood … Articles. Attachment, self-esteem
and test anxiety in adolescence and early adulthood …",google_scholar,0.4534929028306749
5189,7967,Parental Support As Predictor Of Career Decision Making Among Gifted Students,2020,,European Journal of Molecular & Clinical Medicine,https://ejmcm.com/article_5152.html,"NS Raji, P Kaur","… These three components are present in gifted students and will reveal in their performance through
different areas” … and Leonard (1994) “Parental support is a key dimension of effective parenting,
incorporating constructs such as nurturing, attachment, acceptance, cohesion …",google_scholar,0.44999075358249313
5052,7512,Gifted adolescents and intimacy in close same-sex friendships,1993,,Journal of youth and adolescence,10.1007/BF01536649,O Mayseless,"… Specifically, more gifted than nongifted adolescents were expected to describe a secure
attachment pattern. METHOD … Table II. Frequencies of Attachment Patterns of Gifted and Nongifted
Adolescents Attachment patterns Type of adolescent Avoidant Ambivalent Secure Total …",google_scholar,0.44925598984331017
5135,7814,Social skills training in potentially gifted children,2017,,Journal For The Education Of Gifted Young …,https://dergipark.org.tr/en/pub/jegys/issue/37365/432232,B KARATEKE,"… Her research interest are gifted children, neuropsychology, child development, social skills, child
psychology. She has authored a book chapter about development of attachment in children,
co-authored several book chapter, article and a book about speech development …",google_scholar,0.4492506653350807
5050,7509,Affect regulation and the gifted,2002,,… emotional development of gifted children: What do …,https://books.google.com/books?hl=en&lr=&id=VwTDnVluP1wC&oi=fnd&pg=PT66&dq=gifted+attachment&ots=Ra00DQ6RKy&sig=CM6J5qOzks6Gpot7OLa9F0pJ4V4,MK Keiley,"… Behavior problems of gifted and non-gifted elementary school girls and boys. Gifted Child
Quarterly, 28, 37–39. Lyons-Ruth, K.(1996). Attachment relationships among children with
aggressive behavior problems: The role of disorganized early attachment patterns …",google_scholar,0.44892636390152196
5093,7611,The College Experience of Gifted Emerging Adults: Factors Associated to Social Adjustment to College,2018,,,https://dc.etsu.edu/secfr-conf/2018/schedule/12/,"K Berthiaume, KC Berthiaume","… Specifically, the results provide support that a secure parental attachment influences positive
development of social competence and better social adjustment to college in gifted emerging
adults … Keywords. attachment, emerging adult, gifted. Location. Tiger I. Start Date …",google_scholar,0.44691168905575346
35,420,The Role of Parental Beliefs About Anxiety and Attachment on Parental Accommodation of Child Anxiety,,,,10.1007/s10802-020-00722-8,"{'ORCID': 'http://orcid.org/0000-0002-2212-507X', 'authenticated-orcid': False, 'given': 'Carly', 'family': 'Johnco', 'sequence': 'first', 'affiliation': []}",,crossref,0.446791216586294
5293,8419,"Precursor, indicator or mirage: What relationship exists between spirituality and type of giftedness?",2015,,,https://ro.uow.edu.au/theses/4517/,R Walton,"… Abstract Gifted students are often credited with higher levels of spirituality than non-gifted students,
whether that be overall spirituality or aspects of spirituality … The participants were drawn from three
high schools with different gifted specialisations: academic, creative and sport …",google_scholar,0.44624207815764094
5280,8353,Stress and psychological well-being: study in parents of children with special needs,20172017,,ICEI 2017: 6th …,https://bibliotecadigital.ipb.pt/handle/10198/14499,"A Veiga-Branco, ARR Prada, C Antão…","… 38 13112 | Differences and similarities between gifted and non-gifted children on
consumer skills ..... 39 13141 … 65 13057 | The relations between attachment, irrational
beliefs, emotion regulation and psychological symptoms …",google_scholar,0.443036822562956
5089,7595,Social and academic self-concepts of gifted adolescents,1998,,Journal for the Education of the Gifted,10.1177/016235329802200105,FA Dixon,"… Perceived competence and parent-adolescent communication in high-ability adolescent females.
Journal for the Education of the Gifted, 13, 256-269. Cassidy, J. (1990). Theoretical and
methodological considerations in the study of attachment and the self in young children …",google_scholar,0.4414094005553119
5072,7551,Perfectionism in gifted students: An overview of current research,2007,,Gifted Education International,10.1177/026142940702300306,K Speirs Neumeister,"… The findings of some recent studies highlight several influences including personality, parental
modeling and styles, insecure attachment, and lack of challenge. In a qualitative study specifically
examining the development of perfectionism in gifted college students, Speirs …",google_scholar,0.4405931868045674
5291,8414,Social-emotional factors affecting achievement outcomes among disadvantaged students: Closing the achievement gap,2002,,Educational psychologist,10.1207/S15326985EP3704_1,"BE Becker, SS Luthar","… Four critical social–emotional components that influence achievement performance
(academic and school attachment, teacher support, peer values, and mental health)
are reviewed … Academic and School Attachment: Motivation to Learn …",google_scholar,0.4374049119929483
