,title,publication date,subject,journal,DOI,author,abstract,from_database
879,INDIVIDUAL EDUCATION PLANS FOR GIFTED STUDENTS: Information for Parents,2006,,,http://spe.idv.tw/UploadFile/News/2014424184821/Ontario_developing%20individual%20educcation%20plans%20for%20gifted%20students.pdf,"B Hurwitz, R Lacalamita","… DEVELOPING INDIVIDUAL EDUCATION PLANS FOR GIFTED STUDENTS: Information for
Parents Becky Hurwitz and Rosann Lacalamita … page 25 Connections: The Relationship of
Curriculum Modifications and Administrative Supports to the Needs of Gifted Students Part 3 …",google_scholar
760,Early interactions and metacognitive development of gifted preschoolers,1992,,"To be young and gifted, 1992 - Ablex Norwood",,E Moss,"… Education Hopelessness and future expectations among gifted middle school students …
ABSTRACT Some characteristics of gifted students may affect their view of the future
positively, but some of them may have a negative influence. Therefore …",google_scholar
719,An Evaluation System for Development and Improvement of Educational Programs for Gifted Children in the Public Schools,1984,,Educational Technology,https://www.jstor.org/stable/44425083,"CA Maher, CE Mossip","… for a program for gifted children might be: Behavior- to increase students' participation in
extra-curricular activities; Logical thought- to increase students' problem- solving abilities. One
method of determining the extent to which goals have been reached is by the attachment of a …",google_scholar
732,The moral judgment of gifted adolescents,2007,,,https://search.proquest.com/openview/3f38e4d44c5a0fbd9d78ead2ee56df8e/1?pq-origsite=gscholar&cbl=18750&diss=y,AE Lewis,"… Dubon, M. (2014). A comparison between gifted and typical students in their emotion performance …
Emotion regulation strategy use in children and adolescents; the explanatory roles of personality
and attachment. Personality and individual differences, 52, 616-621 …",google_scholar
722,Are Gifted Children Alone?,2018,,Health Sciences Research in the …,https://www.researchgate.net/profile/Sinem_Erem2/publication/337044601_Alternative_Treatments_in_Menopausal_Period/links/5dc22218299bf1a47b190302/Alternative-Treatments-in-Menopausal-Period.pdf#page=632,"SSB DÜMENCİ, F GÜRSOY","… These may be listed, including maternal-child relationship, psychosexual development, social
attachment, genetic-biological … SOCIAL EMOTIONAL DEVELOPMENT OF GIFTED AND TALENTED
CHILDREN When examining social-emotional development characteristics, which …",google_scholar
390,Regular Education Teachers' Attitudes toward Their Identified Gifted and Special Education Students.,1994,,,https://eric.ed.gov/?id=ED373512,"J Siegel, JN Moore","… Hypothesis 4 was also not supported by the data. The attachment attitudes of teachers
with gifted students did not related to their general attitudes toward mainstreaming gifted
students or their prior experience and success with these students …",google_scholar
348,Affect regulation and the gifted,2002,,… emotional development of gifted children: What do …,https://books.google.com/books?hl=en&lr=&id=VwTDnVluP1wC&oi=fnd&pg=PT66&dq=gifted+attachment&ots=Ra00DQ6RKy&sig=CM6J5qOzks6Gpot7OLa9F0pJ4V4,MK Keiley,"… Behavior problems of gifted and non-gifted elementary school girls and boys. Gifted Child
Quarterly, 28, 37–39. Lyons-Ruth, K.(1996). Attachment relationships among children with
aggressive behavior problems: The role of disorganized early attachment patterns …",google_scholar
448,The College Experience of Gifted Emerging Adults: Factors Associated to Social Adjustment to College,2018,,,https://dc.etsu.edu/secfr-conf/2018/schedule/12/,"K Berthiaume, KC Berthiaume","… Specifically, the results provide support that a secure parental attachment influences positive
development of social competence and better social adjustment to college in gifted emerging
adults … Keywords. attachment, emerging adult, gifted. Location. Tiger I. Start Date …",google_scholar
143,Teachers’ metaphors and views about gifted students and their education,,,,10.1177/0261429421988927,"{'ORCID': 'http://orcid.org/0000-0003-1648-3118', 'authenticated-orcid': False, 'given': 'Gülendam', 'family': 'Akgül', 'sequence': 'first', 'affiliation': [{'name': 'Çankırı Karatekin Üniversitesi, Turkey'}]}","<jats:p> Gifted students differ from their peers in many areas, and require additional effort and skills from their teachers in regular schools. Teachers in regular education play a critical role in the identification of gifted students and education. Therefore, considering their attitudes toward these students and gifted education in general will provide a deeper understanding of teachers’ needs regarding the quality of gifted education. The present study aims to examine teachers’ perceptions about gifted students through the use of metaphors and attitudes toward gifted education. Qualitative data were collected from 136 teachers utilizing two open-ended questions. Teachers used metaphors based on three categories: gifted education, the social value and various characteristics related to giftedness. The results were discussed in terms of practical implications, teachers’ training needs, educational strategies for gifted students and challenges endemic to the identification process in Turkey. </jats:p>",crossref
648,Primary School Teachers' Opinions Towards Musically Gifted Students,2021,,… of Education in the 21st Century,https://search.proquest.com/openview/98af36f8f50a6ea03866a832684ae1cb/1?pq-origsite=gscholar&cbl=4477239,"V Svalina, BB Sušić, G Lapat","… TOWARDS MUSICALLY GIFTED STUDENTS … Findings of research have implications for theory
and practice of primary school teacher's music education and education for work with gifted
children both during their higher education and lifelong learning …",google_scholar
689,Submission 32 attachment: Literature review on the education of gifted and talented children,2001,,… into the education of gifted and talented children …,,"MUM Gross, B Sleap","… The stories reflected in this chapter describe family attachment and cohesion, strong support
systems, and social capital that have enabled … in this chapter come from communities who often
experience the greatest challenges in education in general and gifted education in …",google_scholar
908,Exceptional connections: a cross-cultural exploration of the actual teacher behaviours that contribute to positive relationships with gifted secondary students and …,2013,,,http://ro.ecu.edu.au/cgi/viewcontent.cgi?article=1540&context=theses,T Capern,"Page 1. GIFTED ADOLESCENT WELLBEING: AN AUSTRALIAN CASE STUDY Gabrielle A Baker …
Page 3. Keywords Accelerated learning, adolescent, affective domain, asynchrony, creative,
curious, diversity, gifted, grade-skipping, health promoting school, inclusive education …",google_scholar
726,R&E Educational Program for the Gifted Middle School Students in Informatics using Computer Game Development,2019,,한국컴퓨터게임학회논문지,https://scholar.dkyobobook.co.kr/searchDetail.laf?barcode=4010027543222,이경미,"… R&E Educational Program for the Gifted Middle School Students in Informatics using Computer
Game Development … To be successful in gifted education, gifted education centers must be
able to provide appropriate levels of R&E education programs …",google_scholar
914,Drawing on giftedness: Understanding what it means to be an engaged gifted and talented elementary student,2012,,,https://search.proquest.com/openview/93ab8996b2ca6a60045240c91f87e35f/1?pq-origsite=gscholar&cbl=18750&diss=y,KM McCormick,"… student groups be examined. Research needs to delve into the idea of student engagement with
gifted and talented students. Page 17. 7 … scores (Klem & Connell, 2004). Teacher attachment has
been found to contribute to academic motivation and more learning …",google_scholar
725,The Experience of Macedonian Foreign Language Teachers with Gifted Students,2020,,… GIFTED AND …,http://eprints.uklo.edu.mk/6113/,"S Neshkovska, L Ivanovska…","… be effective, dynamic and in continuity for the sustainability of these high mental abilities, which
in the gifted, talented and … Primary groups are characterized by the following interpersonal
relationships: high emotional attachment, intense interpersonal relationships, and a strong …",google_scholar
683,"Child, Family, and School Factors Associated with Gifted Educational Placement and Services for Low-Income, Ethnically Diverse Children in Miami: Which Students …",2016,,,http://ebot.gmu.edu/handle/1920/10492,AR Haag,"… County, Florida, 2013, pp. 133). The gifted identification process must include at least two of these
standards: The student displays high academic achievement, as indicated by … The subscales for
the DECA, initiative, self-control, and attachment create a total socio-emotional …",google_scholar
537,"Addressing the social, emotional, and academic needs of gifted high school students",2015,,,https://rave.ohiolink.edu/etdc/view?acc_num=toledo1438706219,EA Kregel,"… enrichment, and differentiated instruction. Finally, this chapter includes a discussion
on issues with attachment and engagement that gifted students often face and the
effects of these issues. Theoretical Framework Understanding …",google_scholar
483,Using the TASC model to develop gifted students' creativity: Analytical review,2018,,Journal for the Education of Gifted Young …,https://dergipark.org.tr/en/pub/jegys/issue/39595/457048,AA ALHUSAİNİ,"… an experimental study in which the TASC model was used in science to assess whether the model
would improve gifted students' thinking … Faulkner found that the students who recognized the
models as “belonging” to them had an emotional attachment to the work and that they …",google_scholar
798,Iranian Journal of Educational Sociology,,,,https://iase-idje.ir/article-1-925-en.pdf,"S Goudarzi, MG Lavasani, M AmiriMajd","… Therefore, in order to improve the mental state and especially the anxiety disorder and behavior
of gifted adolescents, an attachment-based family therapy program can be used. Keywords: Family
therapy based on attachment, Anxiety, Conduct, Gifted Adolescents …",google_scholar
909,Predicting Dropout and Underachievement Among Gifted Students: The Role of Student Engagement,2012,,,https://getd.libs.uga.edu/pdfs/landis_rebecca_n_201208_phd.pdf,RN Landis,"… GIFTED ASIAN AMERICAN HIGH SCHOOL STUDENTS … A Thesis Presented to the Graduate
Faculty of Mississippi University for Women in Partial Fulfillment of the Requirements for the
Degree of Master's of Education in Gifted Studies in the Department of Education May, 1999 …",google_scholar
382,Family environment and social development in gifted students,2014,,Gifted Child …,10.1177/0016986214526430,"P Olszewski-Kubilius, SY Lee…","… Journal, New Content, Announcements. Gifted Child Quarterly, Contents … Family Environment
and Social Development in Gifted Students. Paula Olszewski-Kubilius, Seon-Young Lee, and
Dana Thomson. Gifted Child Quarterly 2014 58:3, 199-216. Download Citation …",google_scholar
418,Comparison of the effectiveness of attachment and Emotion based family therapy program on depression in gifted adolescents,2020,,medical journal of …,https://mjms.mums.ac.ir/article_17647.html?lang=en,"S Goudarzi, M Gholamali Lavasani…",Introduction: Gifted adolescents may suffer from depressive disorder both in terms of developmental maturity and special educational conditions. The aim of this study was to compare the effectiveness of attachment and Emotion based family therapy on emotional …,google_scholar
751,Philosophy and Psychology as Influences on Gifted and Talented Education in the 21st Century Education,2020,,… of Research on Software for Gifted and …,https://www.igi-global.com/chapter/philosophy-and-psychology-as-influences-on-gifted-and-talented-education-in-the-21st-century-education/239637,"BT Ferguson, MGF Napier","… While learning needs of children differ children can be group according to certain variables and
taught together. The needs of one group, the gifted, differ somewhat from their typically developing
peers and peers who have disabilities … as Influences on Gifted and …",google_scholar
680,"The impact of COVID-19, school closure, and social isolation on gifted students' wellbeing and attitudes toward remote (online) learning",,,,https://www.researchgate.net/profile/Zamira_Hyseni_Duraku/publication/344098512_The_impact_of_COVID-19_school_closure_and_social_isolation_on_gifted_students'_wellbeing_and_attitudes_toward_remote_online_learning/links/5f522d21458515e96d2b9962/The-impact-of-COVID-19-school-closure-and-social-isolation-on-gifted-students-wellbeing-and-attitudes-toward-remote-online-learning.pdf,"ZH Duraku, N Hoxha","Page 1. The impact of COVID-19, school closure, and social isolation on gifted students'
wellbeing and attitudes toward remote (online) learning … A multiple case study design was
used, with 20 gifted students and 10 parents of gifted children …",google_scholar
941,Parenting emotionally intense gifted children,2006,,Talent Development Resources. High Ability. http …,,L Sword,"Page 1. EVALUATION OF THE QUALITY OF THE TRIBAL MENSA NURTURING PROGRAMME
FOR GIFTED CHILDREN BY EXPERTS AND THE PARTICIPANTS OF THE PROGRAMME … 6
Comparisons among the Models of Giftedness 6 Prevalence of Gifted Individuals 7 …",google_scholar
1152,Stress and psychological well-being: study in parents of children with special needs,20172017,,ICEI 2017: 6th …,https://bibliotecadigital.ipb.pt/handle/10198/14499,"A Veiga-Branco, ARR Prada, C Antão…","… 38 13112 | Differences and similarities between gifted and non-gifted children on
consumer skills ..... 39 13141 … 65 13057 | The relations between attachment, irrational
beliefs, emotion regulation and psychological symptoms …",google_scholar
346,Many faces of a gifted personality: Characteristics along a complex gifted spectrum,2013,,Talent Development & Excellence,https://d-nb.info/1051891523/34#page=47,"M Wellisch, J Brown","… Keywords: personality, gifted spectrum, attachment, disorders, gifted characteristics, gifted
identification, Theory of Positive Disintegration, twice exceptional children, maternal depression
The term personality is generally thought of as a dynamic and organized set of …",google_scholar
690,Support for parents of gifted and talented children in the western region of Melbourne,2014,,,http://vuir.vu.edu.au/28811/,SA Free,"… These include parenting attachment, parenting behaviours, the biological and social
aspects of parenting … individuation will also be investigated. Chapter four focuses on
the difficulties parents of gifted children have with child rearing …",google_scholar
656,GIFTED CHILDREN WITH ASPERGER SYNDROM: Emotional and Social Implications,2007,,,http://hkage.org.hk/gb/events/080714%20APCG/04-%20Social%20&%20Emotional%20Development/4.6%20Widyorini_Gifted%20Children%20with%20Asperger%20Syndrom-%20Emotion.pdf,E Widyorini,"… communication and attachment skills: Parents have the ability to engage in the kind of interactions
that promote mutual satisfaction, develop attachment, and engender a system of … brother, who
is gifted. His mother works for a company and his father is jobless. His mother is a …",google_scholar
783,How an Expert Gifted Program Teacher's Conception of Perfectionism Influences and Reflects on Gifted Perfectionist Student Behaviours,2012,,,https://central.bac-lac.gc.ca/.item?id=NR91107&op=pdf&app=Library&oclc_number=1019459292,BK Diteljan,"… 2006). Ulu and Tezer (2010) found 604 university students with conscientious, flexible and
extroverted adaptive traits, or neurotic, anxious and attachment avoidant maladaptive traits …
adolescent gifted students as most studies have used clinical samplings of university …",google_scholar
841,Academically gifted adults' experience as students in mainstream rural high school classrooms,2016,,,https://search.proquest.com/openview/5e1b60fb5aebca25826291138435c04c/1?pq-origsite=gscholar&cbl=18750&diss=y,DA Steber,"Page 1. ACADEMICALLY GIFTED ADULTS' EXPERIENCE AS STUDENTS IN … Page 4. Abstract
The generic qualitative study was conducted to answer the research question, “What is the
experience of adults who, as academically gifted students, participated in …",google_scholar
794,Perceptions of the Emotional Self for Adolescents Who Are Gifted,2017,,,https://shareok.org/handle/11244/300055,EA Albright,"… However, Bartell and Reynolds (1986) used a teacher report and found no significant difference
between gifted and non-gifted students in terms of self-esteem … connects emotion with attachment;
psychosocial theory considers emotion to be driven by the unconscious …",google_scholar
1186,"School performance, peer association, psychological and behavioral adjustments: a comparison between Chinese adolescents with and without siblings",2010,,Journal of Adolescence,https://www.sciencedirect.com/science/article/pii/S014019710900102X,"RX Liu, W Lin, Z Chen","… Attachment theory contends that the early relationship with caregivers is critical to children's
healthy development … schools serving children of general population, in contrast to some of the
“key schools” (located in the city proper) where only the elite and gifted children could …",google_scholar
892,An analysis of the self concept of gifted and non-gifted middle school students based on reading achievement,2004,,,https://search.proquest.com/openview/e6ef9b81d4b727f24ae28fd14c08e0c4/1?pq-origsite=gscholar&cbl=18750&diss=y,AE Bisland,"… Results from this research project will be shared with the district. This information can then be
used to help school counselors target students, both gifted and non-gifted who may be in need
of help … Yes X No_____. Attachment: Human Subjects Review Approval …",google_scholar
701,"… achievement motivation, self-esteem, A sense of belonging to the school and academic performance of students in public schools, state sample, intelligent and gifted …",2018,,Research in Curriculum …,https://jsr-e.khuisf.ac.ir/article_539016.html?lang=en,"M Rezaei Rad, SL Sadati Motlagh","… are different, so that achievement motivation of students from smart schools and self-confidence,
school connectedness and academic performance of students from gifted schools were the … karcher
,david; Holcomb,jm; zambrano, (2008)school attachment .newyork; mcgraw-hil …",google_scholar
626,Perfectionism in gifted college students: Family influences and implications for achievement,2002,,,https://getd.libs.uga.edu/pdfs/neumeister_kristie_l_200205_phd.pdf,KL Neumeister,"… Conceptions of Perfectionism Perfectionism, a characteristic commonly associated with
gifted individuals, has received considerable attention in the gifted education literature
(Adderholdt & Goldberg … styles, and attachment. Parental perfectionism …",google_scholar
997,The role of social context in the talent development process at the higher education level.,2019,,Australasian Journal of Gifted Education,10.3316/aeipt.224596,K Eddles-Hirsch,"… of how the social context of the university fostered, as well as impeded, the talent development
process for gifted undergraduate students … For example, the physical aspects of belonging could
include a feeling of safety and an emotional attachment to the environment, whereas …",google_scholar
564,A multilevel analysis of gifted Korean American students' characteristics and school context effects on learning style preferences,2009,,Gifted and Talented International,10.1080/15332276.2009.11674858,"MS Lee, D Siegle","… No significant differences in GPAs and learning style preferences were found between students
attending gifted programs and those not attending … These orientations reflect the participants'
knowledge of a group (Korean or other) and their value and emotional attachment to that …",google_scholar
415,Comparison of the Effectiveness of Family Therapy Program Based on Attachment and Emotion on Anxiety Disorder and Behavior of Gifted Adolescents,2021,,Iranian journal of …,https://iase-idje.ir/browse.php?a_id=925&sid=1&slc_lang=fa,"S Goudarzi, G Masoud Lavasani…",Purpose: The aim of this study was to compare the effectiveness of family therapy program based on attachment and emotion on anxiety disorder and behavior of gifted adolescents. Methodology: The research method was quasi-experimental with pretest-posttest design …,google_scholar
823,Underachieving gifted children: Intergenerational issues,2009,,,https://rune.une.edu.au/web/handle/1959.11/2410,"K Harding, P Merrotsy, S Smith","… Perhaps these outside influences provided her with the model of how parents of gifted children
can provide stimulating environments for their children … The identification process is also based
on a combination of attachment, admiration, and desire for normative guidance, which …",google_scholar
384,Depressive disorder in highly gifted adolescents,2003,,Journal of Secondary Gifted …,10.4219/jsge-2003-429,"PS Jackson, J Peterson","… 1979). A well-estab- lished mother-infant attachment bond provides solid footing for
the child's further development. Children … environment. Depression and Highly Gifted
Adolescents: A Review of Literature and Clinical Data Common …",google_scholar
1122,The relationship of family closeness with college students' self-regulated learning and school adjustment,2007,,College Student Journal,https://go.gale.com/ps/i.do?id=GALE%7CA172977973&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=01463934&p=AONE&sw=w,"PL Lee, D Hamman, CC Lee","… Hence, dimensions of parenting stress including competence, isolation, attachment difficulties,
health issues, role restriction, depression, and lack of spousal … were in regular classes in school
(67%); 30% were in special education classes, 2% were in gifted programs, and 1% of …",google_scholar
561,The relationship between placement and social skills in gifted students,2015,,,https://core.ac.uk/download/pdf/79576379.pdf,E Bacal,"Page 1. The Relationship between Placement and Social Skills in Gifted Students by Emily Bacal …
i ABSTRACT This study investigated the relationship between social emotional competency
(SEC) and academic placement in gifted students. Data were collected on children …",google_scholar
351,Gifted adolescents and intimacy in close same-sex friendships,1993,,Journal of youth and adolescence,10.1007/BF01536649,O Mayseless,"… Specifically, more gifted than nongifted adolescents were expected to describe a secure
attachment pattern. METHOD … Table II. Frequencies of Attachment Patterns of Gifted and Nongifted
Adolescents Attachment patterns Type of adolescent Avoidant Ambivalent Secure Total …",google_scholar
873,Teachers' perceptions in the identification of students for gifted programs,2013,,,https://search.proquest.com/openview/b968901b82a886f2ae89535589a15e14/1?pq-origsite=gscholar&cbl=18750&diss=y,J Buttiglieri,"… Page 26. 10 provided to the principals as an attachment to an email requesting permission to
conduct the survey in their school … were elementary school classroom teachers that represent
the population making the largest number of recommendations for gifted screening …",google_scholar
566,Gifted children: Emotionally immature or emotionally intense,2002,,Retrieved March,http://www.positivedisintegration.com/Sword2003.pdf,"L Sword, G Director","… Relationship feelings: emotional ties and attachments, concern for others (empathy), sensitivity
in relationships, attachment to animals, difficulty in adjusting to new environments, loneliness …
Descriptions of emotional intensity experienced by gifted people include the following …",google_scholar
500,The effects of peers on the academic and creative talent development of a gifted adolescent male,2002,,Journal of Secondary Gifted Education,10.4219/jsge-2002-387,SY Lee,"… 19 The Journal of Secondary Gifted Education JSGE Vol. XIV, No. 1, Fall 2002, pp.
19–29 … The Effects of Peers on the Academic and Creative Talent Development of a Gifted
Adolescent Male Seon-Young Lee The University of Georgia, Athens …",google_scholar
567,Philosophy and theory in the study of gifted children,2003,,Roeper Review,10.1080/02783190309554234,DA White,"… Finally, the more that is known about gifted children as derived from this theoretical base, the
more it will be possible to apply that knowledge to such children … Accord- ing to the Stoics, infants
in the cradle are motivated by their attachment to and affection for themselves …",google_scholar
844,"Research Based Recommendation: Effective Parent Advocacy for Students who are Twice-Exceptional, Academically Gifted With Autism",2016,,,https://scholarworks.uno.edu/honors_theses/79/,T Kennedy,"… Undergraduate Showcase 12-2016 Research Based Recommendation: Effective Parent Advocacy
for Students who are Twice-Exceptional, Academically Gifted With Autism … Part of the Gifted
Education Commons, and the Special Education and Teaching Commons …",google_scholar
458,Dimensions of social skills and their relationship with empathy among gifted and talented students in Malaysia,2014,,Procedia-Social and behavioral …,https://www.sciencedirect.com/science/article/pii/S1877042814003097,"NM Ishak, MHZ Abidin, AYA Bakar","… The social and emotional development of gifted children: What do we know? Waco, TX: Purfrock
Press. Noriah, MI, Melor, MY, & I Piet, I. (2010). Trust, communication and healthy parental
attachment among Malaysian academically talented college students …",google_scholar
853,A case study of a three-year pilot program on one district's attempt to increase the gifted identification of diverse elementary school students by having a talent …,2009,,,http://scholarscompass.vcu.edu/cgi/viewcontent.cgi?article=3009&context=etd,R Franklin,"… DISTRICT'S ATTEMPT TO INCREASE THE GIFTED IDENTIFICATION OF DIVERSE
ELEMENTARY SCHOOL STUDENTS … Gifted Theories and Talent Development…………
…16 Attitudes/Definitions of Giftedness……………17 …",google_scholar
906,Gifted and Talented Program,2000,,Retrieved April,,HIS District,"… been found that developing a sense of belonging in one's school can act as a protective factor
against depression in gifted adolescents (Mueller, 2009). One way to … with teachers, as
protective factors against juvenile delinquency include attachment to …",google_scholar
417,Gifted Dropouts: Phenomenological Case Studies of Rural Gifted Students.,2012,,Journal of Ethnographic & Qualitative …,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=19353308&asa=Y&AN=76164347&h=vSm97gVWzDr6fSga284gJpfzApEwTh5p0O4x0anRHNQmjaiqNdjrBe5kw8OrmgT6sdQa0V%2Fq%2BgZTVV0YLMhWRQ%3D%3D&crl=c,"J Zabloski, F Milacci","… The literature also indicated that gifted students required caring teachings (Hansen & Johnston
Toso, 2007); however, caring alone may not be enough … youth and concluded that in order for
at risk students to remain in school, they needed a personal attachment to someone, a …",google_scholar
406,Link between depression and academic self-esteem in gifted children,2007,,L'encephale,https://europepmc.org/article/med/17457290,"H Bénony, D Van Der Elst, K Chahraoui, C Bénony…","… It was constructed within a clinical research perspective (Pierrhumbert et al., 1999) and is based
on the theory of attachment (Main and Goldwyn … RESULTS:The comparison of 23 gifted children
(GC) and 23 controls matched on age, sex and school grade revealed that the scores …",google_scholar
432,Social and academic self-concepts of gifted adolescents,1998,,Journal for the Education of the Gifted,10.1177/016235329802200105,FA Dixon,"… Perceived competence and parent-adolescent communication in high-ability adolescent females.
Journal for the Education of the Gifted, 13, 256-269. Cassidy, J. (1990). Theoretical and
methodological considerations in the study of attachment and the self in young children …",google_scholar
614,"The gifted personality: Resilient children and adolescents, their adjustment and their relationships",2000,,… talent across the …,https://books.google.com/books?hl=en&lr=&id=L5Oc3cut66EC&oi=fnd&pg=PA101&dq=gifted+attachment&ots=MPkp_3x0zG&sig=EW6hPdAR_KOYlcYaS2Xz8lkbr2Y,"CF Van Lieshout, RH Scholte…","… 5. THE GIFTED PERSONALITY 119 high relational support and a popular class status were found
to be more extraverted, emotionally stable, and … This shift in the personality profiles of boys and
girls may indeed reﬂect the increasing attachment of girls to social interaction and …",google_scholar
820,Practices and development of gifted and talented education,2003,,International Handbook of Educational Research in the …,10.1007/978-94-017-3368-7_13,S Kuen-Fung,"… based curriculum development projects for program funds, as well as (d) school consultation
on planning of school-based gifted programs … Whenever it is feasible, the support also includes
the early entry, mentorship, scholarship, attachment to university or business corporations …",google_scholar
713,"Socioemotional competencies, cognitive ability, and achievement in gifted students",2013,,,https://core.ac.uk/download/pdf/79569008.pdf,T Kong,"… such as confusion, embarrassment, or guilt (Baker, 1996; Ford, 1989); however, gifted
children may have better coping strategies that enable them handle these … School attitudes
can include students' motivation and feelings of attachment to school …",google_scholar
416,Emotional intensity in gifted children,2005,,Retrived from www. sengifted. org (14–07 …,https://www.pvschools.net/sites/default/files/Academics/Academic%20Programs/Gifted/Emotional%20Intensity%20in%20Gifted%20Children.doc.pdf,"LK Sword, G Director","… emotional ties and attachments to others, empathy and concern for others, sensitivity in
relationships, attachment to animals, difficulty in … There is however, an inextricable link between
emotions and intellect and, combined, they have a profound effect on gifted people …",google_scholar
529,IDENTIFYING THE RELATIONSHIP OF PARENTING STYLES AND PARENT'S PERFECTIONISM WITH NORMAL STUDENTS'AND GIFTED STUDENTS' …,2017,,Independent Journal of …,https://www.redalyc.org/pdf/4495/449549996009.pdf,"A Kakavand, S Kalantari, S Noohi…","… Parenting gifted and talented children: conceptual and empirical foundations. Gifted Child
Quarterly, v. 53, n. 3, p. 163- 173. RICE, KG; MIRZADE, SA (2000). Perfectionism, attachment
& adjustment. Journal of counseling psychology, v. 47, n. 2, p. 238-250 …",google_scholar
443,Gifted students' intrinsic and extrinsic motivations and parental influence on their motivation: from the self‐determination theory perspective,2016,,Journal of Research in Special …,10.1111/1471-3802.12048,"Y Al‐Dhamit, L Kreishan","… As Marzooghi et al. (2009) argued, gifted children want to show their abilities to their teachers
and achieve better than their colleagues … Findings indicated that autonomy support led to sense
of choice, integrative regulation of negative emotions and academic attachment …",google_scholar
937,Gifted children's identity formation: Influential factors and significance,2005,,Advances in psychology research,,L Zuo,"… PARENTS WHO HAVE 9-10 YEARS OLD CHILDREN NOMINATED AS GIFTED IDENTIFICATION …
In this study it is aimed to examine the parental attitudes of parents who have 9-10 year-old
children who are 3rd grade and nominated as gifted identification by their teachers …",google_scholar
