title,publication date,subject,journal,DOI,author,abstract,from_database,topics
Medical Cost of Upper Respiratory Tract Infections in Children in Ambulatory Care,2021-12-01,Health Policy,,10.1016/j.vhri.2020.10.001,"{'given': 'Xavier', 'family': 'Sánchez Choez', 'sequence': 'first', 'affiliation': []}",,crossref,9
Sensitivity of the child behaviour checklist sleep items and convergent validity with the Sleep Disorders Scale for Children in a paediatric ADHD sample,2021-12-01,,,10.1016/j.sleepx.2021.100033,"{'given': 'Vincent O.', 'family': 'Mancini', 'sequence': 'first', 'affiliation': []}",,crossref,2
ANALYSIS OF DOMESTIC VIOLENCE FACTORS FOR CHILDREN WITH SPECIAL EDUCATIONAL NEEDS,,,,10.24144/2524-0609.2020.47.166-170,"{'given': 'Karina', 'family': 'Salata', 'sequence': 'first', 'affiliation': []}",,crossref,9
Effect of cognitive training based on virtual reality on the children with autism spectrum disorder,2021-11-01,,,10.1016/j.crbeha.2020.100013,"{'given': 'Jun-Qiang', 'family': 'Zhao', 'sequence': 'first', 'affiliation': []}",,crossref,2
Adaptation to high-frequency vibrotactile stimulations fails to affect the clock in young children,2021-11-01,,,10.1016/j.crbeha.2021.100018,"{'given': 'Nicola', 'family': 'Domenici', 'sequence': 'first', 'affiliation': []}",,crossref,9
Retrospective Cross-Sectional Analysis of Treatment Processes of Children Diagnosed with Obsessive Compulsive Disorder,2021-09-17,,,10.47482/acmr.2020.3,"{'given': 'Halil', 'family': 'Kara', 'sequence': 'first', 'affiliation': []}",,crossref,2
"Prevalence of pneumonia associated with measles among infants and children hospitalized in Khyber Teaching Hospital Peshawar, KPK, Pakistan",,,,10.19045/bspab.2021.100072,"{'given': 'Shahid', 'family': 'Khan', 'sequence': 'first', 'affiliation': []}",,crossref,2
School nurses' available education to manage children with asthma at schools: A scoping review,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.01.027,"{'given': 'Zainab', 'family': 'Al Kindi', 'sequence': 'first', 'affiliation': []}",,crossref,9
The relationship of parental health literacy to health outcomes of children with medical complexity,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.02.014,"{'given': 'Patricia R.', 'family': 'Lawrence', 'sequence': 'first', 'affiliation': []}",,crossref,9
Correlates of objectively measured sleep and physical activity among Latinx 3-to-5-year old children,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.01.010,"{'given': 'Augustine W.', 'family': 'Kang', 'sequence': 'first', 'affiliation': []}",,crossref,9
Effects of animal-assisted therapy on hospitalized children and teenagers: A systematic review and meta-analysis,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.01.020,"{'given': 'Yongshen', 'family': 'Feng', 'sequence': 'first', 'affiliation': []}",,crossref,9
Examining the effects of music-based interventions on pain and anxiety in hospitalized children: An integrative review,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.02.007,"{'given': 'Alexandra A.', 'family': 'Johnson', 'sequence': 'first', 'affiliation': []}",,crossref,9
Beliefs of children and adults in religious and scientific phenomena,2021-08-01,,,10.1016/j.copsyc.2020.08.003,"{'ORCID': 'http://orcid.org/0000-0003-4907-0539', 'authenticated-orcid': False, 'given': 'Paul L', 'family': 'Harris', 'sequence': 'first', 'affiliation': []}",,crossref,9
An effective scheme for solving a class of nonlinear doubly singular boundary value problems through quasilinearization approach,2021-08-01,Applied Mathematics,,10.1016/j.cam.2021.113411,"{'given': 'R.K.', 'family': 'Pandey', 'sequence': 'first', 'affiliation': []}",,crossref,1
Handwriting isolated cursive letters in young children: Effect of the visual trace deletion,2021-08-01,Education,,10.1016/j.learninstruc.2020.101439,"{'given': 'Bara', 'family': 'Florence', 'sequence': 'first', 'affiliation': []}",,crossref,9
Music lessons enhance executive functions in 6- to 7-year-old children,2021-08-01,Education,,10.1016/j.learninstruc.2021.101442,"{'given': 'Ulrike', 'family': 'Frischen', 'sequence': 'first', 'affiliation': []}",,crossref,9
"Judicial Review of Legislations by Tribunals in India: Law, Problems, and Perspectives",2021-07-01,,,10.1017/9781108870184.018,"{'given': 'P.', 'family': 'Puneeth', 'sequence': 'first', 'affiliation': []}",,crossref,9
Symplectic approach for plane elasticity problems of two-dimensional octagonal quasicrystals,2021-07-01,Applied Mathematics,,10.1016/j.amc.2021.126043,"{'given': 'Yanfen', 'family': 'Qiao', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Applications of stochastic modeling in air traffic management: Methods, challenges and opportunities for solving air traffic problems under uncertainty",2021-07-01,Management Science and Operations Research,,10.1016/j.ejor.2020.10.039,"{'ORCID': 'http://orcid.org/0000-0002-5485-1180', 'authenticated-orcid': False, 'given': 'Rob', 'family': 'Shone', 'sequence': 'first', 'affiliation': []}",,crossref,1
Sequential bankruptcy problems,2021-07-01,Management Science and Operations Research,,10.1016/j.ejor.2020.10.038,"{'ORCID': 'http://orcid.org/0000-0002-3747-4010', 'authenticated-orcid': False, 'given': 'Arantza', 'family': 'Estévez-Fernández', 'sequence': 'first', 'affiliation': []}",,crossref,1
Assessing implicit computational thinking in Zoombinis puzzle gameplay,2021-07-01,Human-Computer Interaction,,10.1016/j.chb.2021.106707,"{'given': 'Elizabeth', 'family': 'Rowe', 'sequence': 'first', 'affiliation': []}",,crossref,2
A Hopf-Lax Formula in Hamilton–Jacobi Analysis of Reach-Avoid Problems,2021-07-01,,,10.1109/lcsys.2020.3009933,"{'ORCID': 'http://orcid.org/0000-0003-4073-1353', 'authenticated-orcid': False, 'given': 'Donggun', 'family': 'Lee', 'sequence': 'first', 'affiliation': []}",,crossref,1
The President Problems,2021-07-01,,,10.1142/12227,"{'given': 'Abraham', 'family': 'Berman', 'sequence': 'first', 'affiliation': [{'name': 'Technion-Israel Inst of TechIsrael'}]}",,crossref,1
Changing facebook profile pictures to dyadic photos: Positive association with romantic partners' relationship satisfaction via perceived partner commitment,2021-07-01,Human-Computer Interaction,,10.1016/j.chb.2021.106748,"{'given': 'Kenichi', 'family': 'Ito', 'sequence': 'first', 'affiliation': []}",,crossref,2
A QCQP-based splitting SQP algorithm for two-block nonconvex constrained optimization problems with application,2021-07-01,Applied Mathematics,,10.1016/j.cam.2020.113368,"{'given': 'Jinbao', 'family': 'Jian', 'sequence': 'first', 'affiliation': []}",,crossref,1
An incremental aggregated proximal ADMM for linearly constrained nonconvex optimization with application to sparse logistic regression problems,2021-07-01,Applied Mathematics,,10.1016/j.cam.2021.113384,"{'given': 'Zehui', 'family': 'Jia', 'sequence': 'first', 'affiliation': []}",,crossref,1
Mixed GMsFEM for linear poroelasticity problems in heterogeneous porous media,2021-07-01,Applied Mathematics,,10.1016/j.cam.2021.113383,"{'ORCID': 'http://orcid.org/0000-0002-3174-2627', 'authenticated-orcid': False, 'given': 'Xia', 'family': 'Wang', 'sequence': 'first', 'affiliation': []}",,crossref,1
Factors related to providers screening children for behavioral health risks in primary care settings,2021-07-01,Pediatrics,,10.1016/j.pedn.2020.12.014,"{'given': 'Lisa M.', 'family': 'Jones', 'sequence': 'first', 'affiliation': []}",,crossref,9
A child with home mechanical ventilation affects the family: A Danish study shows that well siblings may become shadow children,2021-07-01,Pediatrics,,10.1016/j.pedn.2020.12.013,"{'given': 'Anette Bjerregaard', 'family': 'Alrø', 'sequence': 'first', 'affiliation': []}",,crossref,9
Pediatric surgery and school nurse attitudes regarding children with obesity,2021-07-01,Pediatrics,,10.1016/j.pedn.2021.01.007,"{'given': 'Nancy', 'family': 'Thompson', 'sequence': 'first', 'affiliation': []}",,crossref,9
Lung hyperinflation quantitated by chest CT in children with bronchiolitis obliterans syndrome following allogeneic hematopoietic cell transplantation,2021-07-01,Radiology Nuclear Medicine and imaging,,10.1016/j.clinimag.2021.01.011,"{'given': 'Dimitrios', 'family': 'Moutafidis', 'sequence': 'first', 'affiliation': []}",,crossref,9
Two-sample Behrens–Fisher problems for high-dimensional data: A normal reference approach,2021-07-01,"Statistics, Probability and Uncertainty",,10.1016/j.jspi.2020.11.008,"{'given': 'Jin-Ting', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,1
"If you built a sandbox: How children, network diversity, and community interventions are related to Google Fiber signup in disadvantaged urban communities",2021-07-01,Computer Networks and Communications,,10.1016/j.tele.2021.101580,"{'given': 'Wenhong', 'family': 'Chen', 'sequence': 'first', 'affiliation': []}",,crossref,9
Extracting depressive symptoms and their associations from an online depression community,2021-07-01,Human-Computer Interaction,,10.1016/j.chb.2021.106734,"{'given': 'Xiaoxu', 'family': 'Yao', 'sequence': 'first', 'affiliation': []}",,crossref,2
Bifurcation for nonlinear elliptic problems with singular potentials,2021-07-01,Applied Mathematics,,10.1016/j.aml.2021.107053,"{'ORCID': 'http://orcid.org/0000-0002-2767-1045', 'authenticated-orcid': False, 'given': 'Weibing', 'family': 'Wang', 'sequence': 'first', 'affiliation': []}",,crossref,1
Aggregated occupation measures and linear programming approach to constrained impulse control problems,2021-07-01,Applied Mathematics,,10.1016/j.jmaa.2021.125070,"{'ORCID': 'http://orcid.org/0000-0002-9683-4856', 'authenticated-orcid': False, 'given': 'Alexey', 'family': 'Piunovskiy', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Preschoolers will drink their GREENS! Children accept, like, and drink novel smoothies containing dark green vegetables (DGVs)",2021-07-01,Nutrition and Dietetics,,10.1016/j.appet.2021.105148,"{'given': 'Brandi Y.', 'family': 'Rollins', 'sequence': 'first', 'affiliation': []}",,crossref,9
Comparative Analysis of Convolutional Neural Networks Applied in the Detection of Pneumonia Through X-Ray Images of Children,,,,10.21528/lnlm-vol18-no2-art1,"{'ORCID': 'http://orcid.org/0000-0002-1436-6391', 'authenticated-orcid': False, 'given': 'Luan Oliveira', 'family': 'Silva', 'sequence': 'first', 'affiliation': []}","<jats:p>Pneumonia is one of the most common medical problems in clinical practice and is the leading fatal infectious disease worldwide. According to the World Health Organization, pneumonia kills about 2 million children under the age of 5 and is constantly estimated to be the leading cause of infant mortality, killing more children than AIDS, malaria, and measles combined. A key element in the diagnosis is radiographic data, as chest x-rays are routinely obtained as a standard of care and can aid to differentiate the types of pneumonia. However, a rapid radiological interpretation of images is not always available, particularly in places with few resources, where childhood pneumonia has the highest incidence and mortality rates. As an alternative, the application of deep learning techniques for the classification of medical images has grown considerably in recent years. This study presents five implementations of convolutional neural networks (CNNs): ResNet50, VGG-16, InceptionV3, InceptionResNetV2, and ResNeXt50. To support the diagnosis of the disease, these CNNs were applied to solve the classification problem of medical radiographs from people with pneumonia. InceptionResNetV2 obtained the best recall and precision results for the Normal and Pneumonia classes, 93.95% and 97.52% respectively. ResNeXt50 achieved the best precision and f1-score results for the Normal class (94.62% and 94.25% respectively) and the recall and f1-score results for the Pneumonia class (97.80% and 97.65%, respectively).</jats:p>",crossref,1
Young children as rational interlocutors,2021-06-15,,,10.1075/aic.19.c00,,,crossref,9
An advanced uncertainty measure using fuzzy soft sets: Application to decision-making problems,2021-06-01,,,10.26599/bdma.2020.9020020,"{'given': 'Nitin', 'family': 'Bhardwaj', 'sequence': 'first', 'affiliation': []}",,crossref,1
Sharp H1-norm error estimates of two time-stepping schemes for reaction–subdiffusion problems,2021-06-01,Applied Mathematics,,10.1016/j.cam.2020.113352,"{'given': 'Jincheng', 'family': 'Ren', 'sequence': 'first', 'affiliation': []}",,crossref,1
Fast multiscale contrast independent preconditioners for linear elastic topology optimization problems,2021-06-01,Applied Mathematics,,10.1016/j.cam.2020.113366,"{'ORCID': 'http://orcid.org/0000-0003-0007-7641', 'authenticated-orcid': False, 'given': 'Miguel', 'family': 'Zambrano', 'sequence': 'first', 'affiliation': []}",,crossref,1
An Improved Linearity-Preserving Cell-Centered Scheme for Nonlinear Diffusion Problems on General Meshes,2021-06-01,Modelling and Simulation,,10.4208/nmtma.oa-2020-0006,"{'given': 'Cheng Dong &  Tong', 'family': 'Kang', 'sequence': 'first', 'affiliation': []}",,crossref,1
How young children engage in and shift between reference frames when playing with coding toys,2021-06-01,Human-Computer Interaction,,10.1016/j.ijcci.2021.100250,"{'ORCID': 'http://orcid.org/0000-0001-5434-0324', 'authenticated-orcid': False, 'given': 'Jody', 'family': 'Clarke-Midura', 'sequence': 'first', 'affiliation': []}",,crossref,9
"Prenatal and perinatal home environment and reported onset of wheeze, rhinitis and eczema symptoms in preschool children in Northern China",2021-06-01,Environmental Engineering,,10.1016/j.scitotenv.2021.145700,"{'given': 'Dan', 'family': 'Norbäck', 'sequence': 'first', 'affiliation': []}",,crossref,9
Adsorption behavior of a tri-functionalized imprinted resin with high selectivity for 5-sulfosalicylic acid: Batch experiments and DFT calculation,2021-06-01,Environmental Engineering,,10.1016/j.jhazmat.2021.125271,"{'ORCID': 'http://orcid.org/0000-0002-3328-8288', 'authenticated-orcid': False, 'given': 'Yue', 'family': 'Sun', 'sequence': 'first', 'affiliation': []}",,crossref,2
Electrochemical behavior of aluminium anode in super-gravity field and its application in copper removal from wastewater by electrocoagulation,2021-06-01,General Chemistry,,10.1016/j.chemosphere.2021.129614,"{'given': 'Yu', 'family': 'Yu', 'sequence': 'first', 'affiliation': []}",,crossref,1
From the field to the lab and back: neuroethology of primate social behavior,2021-06-01,General Neuroscience,,10.1016/j.conb.2021.01.005,"{'given': 'Camille', 'family': 'Testard', 'sequence': 'first', 'affiliation': []}",,crossref,1
Modified Two-Grid Algorithm for Nonlinear Power-Law Conductivity in Maxwell's Problems with High Accuracy,2021-06-01,Mechanical Engineering,,10.4208/aamm.oa-2019-0371,"{'given': 'global', 'family': 'sci', 'sequence': 'first', 'affiliation': []}",,crossref,2
A modulus-based multigrid method for nonlinear complementarity problems with application to free boundary problems with nonlinear source terms,2021-06-01,Applied Mathematics,,10.1016/j.amc.2021.126015,"{'given': 'Li-Li', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,1
"The associations among organophosphate pesticide exposure, oxidative stress, and genetic polymorphisms of paraoxonases in children with attention deficit/hyperactivity disorder",2021-06-01,Environmental Engineering,,10.1016/j.scitotenv.2021.145604,"{'given': 'Chia-Huang', 'family': 'Chang', 'sequence': 'first', 'affiliation': []}",,crossref,2
"Camel milk consumption was associated with lower prevalence of anemia among preschool children in rural pastoral districts of Somali, eastern Ethiopia",2021-06-01,Nutrition and Dietetics,,10.1016/j.nut.2021.111170,"{'given': 'Anbissa', 'family': 'Muleta', 'sequence': 'first', 'affiliation': []}",,crossref,2
"On powerpointers, clickerers, and digital pros: Investigating the initiation of digital learning activities by teachers in higher education",2021-06-01,Human-Computer Interaction,,10.1016/j.chb.2021.106715,"{'ORCID': 'http://orcid.org/0000-0002-3804-9358', 'authenticated-orcid': False, 'given': 'Anne', 'family': 'Lohr', 'sequence': 'first', 'affiliation': []}",,crossref,1
Minmax regret maximal covering location problems with edge demands,2021-06-01,Management Science and Operations Research,,10.1016/j.cor.2020.105181,"{'given': 'Marta', 'family': 'Baldomero-Naranjo', 'sequence': 'first', 'affiliation': []}",,crossref,1
CTSVM: A robust twin support vector machine with correntropy-induced loss function for binary classification problems,2021-06-01,Control and Systems Engineering,,10.1016/j.ins.2021.01.006,"{'given': 'Xiaohan', 'family': 'Zheng', 'sequence': 'first', 'affiliation': []}",,crossref,1
Acknowledgment of Reviewers,2021-06-01,Experimental and Cognitive Psychology,,10.1016/s0005-7916(21)00010-0,,,crossref,9
Traumatic Abdominal Wall Hernia in Children: A Systematic Review,2021-06-01,Surgery,,10.1016/j.jss.2020.12.068,"{'ORCID': 'http://orcid.org/0000-0002-0365-3053', 'authenticated-orcid': False, 'given': 'Christina M.', 'family': 'Theodorou', 'sequence': 'first', 'affiliation': []}",,crossref,9
Does temperament make children differently susceptible to their home physical food environment? A cross-sectional DAGIS study on 3–6 year old Finnish children's food consumption,2021-06-01,Nutrition and Dietetics,,10.1016/j.appet.2021.105140,"{'given': 'Riikka', 'family': 'Pajulahti', 'sequence': 'first', 'affiliation': []}",,crossref,9
"Observational, student, and teacher perspectives on interpersonal teacher behavior: Shared and unique associations with teacher and student emotions",2021-06-01,Education,,10.1016/j.learninstruc.2020.101414,"{'given': 'Monika H.', 'family': 'Donker', 'sequence': 'first', 'affiliation': []}",,crossref,2
Game industry problems: An extensive analysis of the gray literature,2021-06-01,Software,,10.1016/j.infsof.2021.106538,"{'ORCID': 'http://orcid.org/0000-0002-0206-1056', 'authenticated-orcid': False, 'given': 'Cristiano', 'family': 'Politowski', 'sequence': 'first', 'affiliation': []}",,crossref,1
Social contagion of cyberbullying via online perpetrator and victim networks,2021-06-01,Human-Computer Interaction,,10.1016/j.chb.2021.106719,"{'ORCID': 'http://orcid.org/0000-0002-9711-157X', 'authenticated-orcid': False, 'given': 'Kenji', 'family': 'Yokotani', 'sequence': 'first', 'affiliation': []}",,crossref,1
A novel meshless space-time backward substitution method and its application to nonhomogeneous advection-diffusion problems,2021-06-01,Applied Mathematics,,10.1016/j.amc.2021.125964,"{'given': 'Ji', 'family': 'Lin', 'sequence': 'first', 'affiliation': []}",,crossref,1
Bone mass and vertebral fractures in South African children on prolonged oral glucocorticoids for chronic non-malignant illnesses,2021-06-01,,,10.1016/j.bonr.2021.100751,"{'given': 'Kebashni', 'family': 'Thandrayen', 'sequence': 'first', 'affiliation': []}",,crossref,9
Sleep disruption in children and adolescents with epilepsy: A systematic review and meta-analysis,2021-06-01,Physiology (medical),,10.1016/j.smrv.2021.101416,"{'given': 'Alice A.', 'family': 'Winsor', 'sequence': 'first', 'affiliation': []}",,crossref,9
Habenula as the experience-dependent controlling switchboard of behavior and attention in social conflict and learning,2021-06-01,General Neuroscience,,10.1016/j.conb.2020.12.005,"{'given': 'Hitoshi', 'family': 'Okamoto', 'sequence': 'first', 'affiliation': []}",,crossref,1
Changes of intrathoracic trachea with respiration in children: A metrical assessment based on 3D CT models,2021-06-01,Radiology Nuclear Medicine and imaging,,10.1016/j.clinimag.2020.12.040,"{'given': 'Michaela', 'family': 'Cellina', 'sequence': 'first', 'affiliation': []}",,crossref,2
Control problems with differential constraints of higher order,2021-06-01,Applied Mathematics,,10.1016/j.na.2021.112263,"{'ORCID': 'http://orcid.org/0000-0002-8959-5009', 'authenticated-orcid': False, 'given': 'Franco', 'family': 'Cardin', 'sequence': 'first', 'affiliation': []}",,crossref,1
The regularizing properties of global GMRES for solving large-scale linear discrete ill-posed problems with several right-hand sides,2021-06-01,Applied Mathematics,,10.1016/j.apnum.2020.08.021,"{'given': 'Hui', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,1
A circulant-matrix-based new accelerated GSOR preconditioned method for block two-by-two linear systems from image restoration problems,2021-06-01,Applied Mathematics,,10.1016/j.apnum.2021.01.005,"{'ORCID': 'http://orcid.org/0000-0003-4450-553X', 'authenticated-orcid': False, 'given': 'Min-Li', 'family': 'Zeng', 'sequence': 'first', 'affiliation': []}",,crossref,1
Ambient air pollution and obesity in school-aged children and adolescents: A multicenter study in China,2021-06-01,Environmental Engineering,,10.1016/j.scitotenv.2020.144583,"{'given': 'Zilong', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,9
Machine learning techniques and older adults processing of online information and misinformation: A covid 19 study,2021-06-01,Human-Computer Interaction,,10.1016/j.chb.2021.106716,"{'given': 'Jyoti', 'family': 'Choudrie', 'sequence': 'first', 'affiliation': []}",,crossref,1
Fixed Point Theorems in Relational Metric Spaces with an Application to Boundary Value Problems,2021-06-01,,,10.4208/jpde.v34.n1.6,"{'given': 'Gopi Prasad & Deepak', 'family': 'Khantwal', 'sequence': 'first', 'affiliation': []}",,crossref,1
"The relationship between burden caused by coronavirus (Covid-19), addictive social media use, sense of control and anxiety",2021-06-01,Human-Computer Interaction,,10.1016/j.chb.2021.106720,"{'given': 'J.', 'family': 'Brailovskaia', 'sequence': 'first', 'affiliation': []}",,crossref,1
The social dilemma: prefrontal control of mammalian sociability,2021-06-01,General Neuroscience,,10.1016/j.conb.2021.01.007,"{'given': 'Ofer', 'family': 'Yizhar', 'sequence': 'first', 'affiliation': []}",,crossref,1
A decision support system for detecting and handling biased decision-makers in multi criteria group decision-making problems,2021-06-01,General Engineering,,10.1016/j.eswa.2021.114597,"{'given': 'Meysam', 'family': 'Rabiee', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Children’s learning in focus: Creating value through diversity and transdisciplinary work in design, digital fabrication, and making with children",2021-06-01,Human-Computer Interaction,,10.1016/j.ijcci.2020.100246,"{'ORCID': 'http://orcid.org/0000-0002-1582-8869', 'authenticated-orcid': False, 'given': 'Marianne', 'family': 'Kinnula', 'sequence': 'first', 'affiliation': []}",,crossref,9
A topological degree theory for constrained problems with compact perturbations and application to nonlinear parabolic problem,2021-06-01,,,10.1016/j.padiff.2020.100019,"{'ORCID': 'http://orcid.org/0000-0002-7001-4614', 'authenticated-orcid': False, 'given': 'Teffera M.', 'family': 'Asfaw', 'sequence': 'first', 'affiliation': []}",,crossref,1
Efficient uncertainty quantification of CFD problems by combination of proper orthogonal decomposition and compressed sensing,2021-06-01,Modelling and Simulation,,10.1016/j.apm.2021.01.012,"{'given': 'Arash', 'family': 'Mohammadi', 'sequence': 'first', 'affiliation': []}",,crossref,1
Learning with human and virtual instructors who display happy or bored emotions in video lectures,2021-06-01,Human-Computer Interaction,,10.1016/j.chb.2021.106724,"{'given': 'Tal', 'family': 'Horovitz', 'sequence': 'first', 'affiliation': []}",,crossref,1
Relative perturbation theory for quadratic Hermitian eigenvalue problems,2021-06-01,Geometry and Topology,,10.1016/j.laa.2021.01.023,"{'ORCID': 'http://orcid.org/0000-0003-3362-4103', 'authenticated-orcid': False, 'given': 'Peter', 'family': 'Benner', 'sequence': 'first', 'affiliation': []}",,crossref,1
A filter in constructing the preconditioner for solving linear equation systems of radiation diffusion problems,2021-06-01,Applied Mathematics,,10.1016/j.amc.2021.126010,"{'given': 'Shuai', 'family': 'Ye', 'sequence': 'first', 'affiliation': []}",,crossref,1
Touching digital objects directly on multi-touch devices fosters learning about visual contents,2021-06-01,Human-Computer Interaction,,10.1016/j.chb.2021.106708,"{'given': 'Birgit', 'family': 'Brucker', 'sequence': 'first', 'affiliation': []}",,crossref,1
