,title,publication date,subject,journal,DOI,author,abstract,from_database,publication_date
31,Psychopharmacology in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00048-0,"{'given': 'Malak', 'family': 'Abbas', 'sequence': 'first', 'affiliation': []}",,crossref,
32,Co-Residence of Elderly Persons with Children and Grandchildren in Eastern and Southeast Europe,2021-12-31,,,10.14361/9783839445549-004,,,crossref,
33,1 Relevance and Conflict Problems,2021-12-31,,,10.1515/9781501743764-003,,,crossref,
34,7. POLITICAL BEHAVIOR AND COMMUNITY EFFECTS,2021-12-31,,,10.7312/brow18880-008,,,crossref,
35,Chapter 1. I Could Never Have Been an Unnatural Father: Explaining the Discarded Children (ca. 1746–1778),2021-12-31,,,10.9783/9780812297805-003,,,crossref,
36,"Introduction. Growing Sideways, or Why Children Appear to Get Queerer in the Twentieth Century",2021-12-31,,,10.1515/9780822390268-002,,,crossref,
37,Appendix One. Children and Grandchildren,2021-12-31,,,10.1515/9780691208176-014,,,crossref,
38,Teaching Emotion Regulation: K-12 Teachers’ Perceptions and Practices across the Curriculum,,,,10.22158/ct.v4n1p1,"{'given': 'Louis S.', 'family': 'Nadelson', 'sequence': 'first', 'affiliation': []}","<jats:p>Students can gain a range of skills and knowledge from interactions in schools, including emotional competencies such as regulation of emotions. Teachers are positioned to support students’ development of emotion regulation in the social context of school. We sought to determine K-12 teachers’ sense of responsibility, preparation, engagement, comfort, and approach to teaching students emotion regulation. The quantitative and qualitative data we gathered from 155 general K-12 classroom teachers revealed a sense of responsibility, low preparation, varied engagement, and low to moderate comfort. We found differences by grade levels, school location, and teacher education level. There was moderate alignment between how the teachers regulate their emotions and the emotion regulation processes they teach their students. We share implications for school psychologists and suggest multiple directions for future research.</jats:p>",crossref,
39,Cutaneous manifestations in children with the new coronavirus infection COVID-19,,,,10.22363/2313-0245-2021-25-1-16-24,"{'given': 'O. B.', 'family': 'Tamrazova', 'sequence': 'first', 'affiliation': []}","<jats:p>In late 2019, a new viral infection appeared in China, which spread around the world, causing a pandemic. The causative agent of the new coronavirus infection COVID-19 is the SARS-CoV-2 coronavirus. The review presents modern data on the epidemiology, pathogenesis and course of the novel coronavirus infection COVID-19 in children. Chinese, American and European scientists have described a variety of cutaneous manifestations in children with COVID-19. The article provides a literature review of the cutaneous manifestations of COVID-19 coronavirus infection in children. During our own observation of 301 patients with coronavirus infection COVID-19 caused by SARS-CoV-2 at the Bashlyaevs Children Hospital in Moscow from May 17 to November 16, 2020, it was revealed that 39 (13 %) patients had skin manifestations. The article presents a classification of skin manifestations characteristic of COVID-19. A brief description of each group is given.</jats:p>",crossref,
40,Problems of creating predictive models of the COVID19 coronavirus pandemic,,,,10.22363/2313-0245-2021-25-1-31-38,"{'given': 'E. A.', 'family': 'Levkova', 'sequence': 'first', 'affiliation': []}","<jats:p>Relevance. The article is devoted to creating prognostic models based on epidemiological and immunological data. Objective: to study the comparative dynamic epidemiological and immunological characteristics of patients with COVID-19. Materials and methods. Methodological approaches to the use of system analysis of epidemiological and immunological characteristics of patients with COVID-19 using multivariate analysis are described. The used technologies of computer-aided analysis systems, algorithms for recognizing, measuring and identifying the condition of patients, and methods of statistical data processing made it possible to create a universal information predictive model for calculating the dynamics of infectious diseases prone to generalization (pandemics), as well as to understand in which groups these new infectious diseases are most dangerous. Results and discussion. Using the methods of system analysis, the epidemiological and immunological aspects of predictive models of the coronavirus pandemic were evaluated using the most objective international data, which increased the information content of the analysis. Conclusions . Creating predictive epidemiological and immunological models of the pandemic is an urgent and promising task to combat the medical and social consequences of the spread of coronavirus infection in Russia.</jats:p>",crossref,
41,Nutritional assessment of children suffering from Autism,,,,10.19045/bspab.2021.100123,"{'given': 'Aniqa', 'family': 'Amjad', 'sequence': 'first', 'affiliation': []}",,crossref,
42,Medical Cost of Upper Respiratory Tract Infections in Children in Ambulatory Care,2021-12-01,Health Policy,,10.1016/j.vhri.2020.10.001,"{'given': 'Xavier', 'family': 'Sánchez Choez', 'sequence': 'first', 'affiliation': []}",,crossref,
43,Consumer behavior and climate change: consumers need considerable assistance,2021-12-01,,,10.1016/j.cobeha.2021.02.008,"{'given': 'John', 'family': 'Thøgersen', 'sequence': 'first', 'affiliation': []}",,crossref,
44,Special Techniques for Solving Integrals,2021-12-01,,,10.1142/12244,"{'given': 'Khristo N', 'family': 'Boyadzhiev', 'sequence': 'first', 'affiliation': [{'name': 'Ohio Northern UniversityUSA'}]}",,crossref,
45,"Cytoarchitecture of the medial nucleus of trapezoid body of three neotropical species of bats (Noctilio leporinus, Phyllostomus hastatus, and Carollia perspicillata) with different foraging behavior",,General Agricultural and Biological Sciences,,10.1590/1519-6984.230316,"{'ORCID': 'http://orcid.org/0000-0002-6971-6790', 'authenticated-orcid': False, 'given': 'I.', 'family': 'Gibbons', 'sequence': 'first', 'affiliation': [{'name': 'The University of the West Indies,  Trinidad and Tobago'}]}","<jats:p>Abstract The present study was taken to test the hypothesis that the medial nucleus of the trapezoid body (MNTB) of echolocating neotropical bats with different foraging behavior will exhibit morphological variations in relative size, degree of complexity and spatial distribution. The brains were collected from six male adult bats of each species: Noctilio leporinus (fish-eating), Phyllostomus hastatus (carnivorous/ omnivorous) and Carollia perspicillata (fruit-eating) and were double-embedded and transverse serial sections were cut and stained with cresyl fast violet. The results showed that the MNTB is well developed in all the bats in general and the mean length of the MNTB was 1160 ± 124 µm in N. leporinus, 400 ± 59 µm in P. hastatus and 320 ± 25µm in C. perspicillata. The body and brain weight do not reflect proportionately on the size of the MNTB in the present study. The hearing frequency spectrum did not covary with the size of the MNTB among the bats studied. The MNTB is clearly demarcated from the ventral nucleus of the trapezoid body (VNTB) only in P. hastatus. The MNTB comprised mainly three types of cells in all three bats: dense-staining multipolar cells (12.5 µm and 25.0 µm diameter); light-staining multipolar cells measuring (12.5 µm and 25.0 µm diameter) and light-staining round cells (5.0 µm diameter). The large sized MNTB was observed in N. leporinus, which suggests that it relies heavily on echolocation whereas P. hastatus and C. perspicillata use echolocation as well but also rely on hearing, smell and vision.</jats:p>",crossref,
46,Effects of sheep manure in agricultural soils on the behavior of Folsomia candida and initial growth and development of Avena sativa,,General Agricultural and Biological Sciences,,10.1590/1519-6984.234126,"{'ORCID': 'http://orcid.org/0000-0001-8663-9240', 'authenticated-orcid': False, 'given': 'T.', 'family': 'Zortéa', 'sequence': 'first', 'affiliation': [{'name': 'Universidade Tecnólogica Federal do Paraná,  Brasil'}]}","<jats:p>Abstract The aim of this study was to evaluate the effects of sheep manure in agricultural soils on the behavior of Folsomia candida and initial growth and development of Avena sativa. For this, an Oxisol was submitted to different doses of sheep manure and was subsequently evaluated for Folsomia candida survival and avoidance behavior through standardized ecotoxicological assays, the initial performance of oats by germination test and the soil basal respiration rate by respirometry methodology. There was an increase in the basal respiration rate of the soil by the application of sheep manure and this was consistent with the increase of the doses. The survival rate and avoidance behavior of springtails were not altered and there was no change in the initial performance of oats, indicating that this manure can be used for organic fertilization of soils with low soil pollutant potential.</jats:p>",crossref,
47,Sensitivity of the child behaviour checklist sleep items and convergent validity with the Sleep Disorders Scale for Children in a paediatric ADHD sample,2021-12-01,,,10.1016/j.sleepx.2021.100033,"{'given': 'Vincent O.', 'family': 'Mancini', 'sequence': 'first', 'affiliation': []}",,crossref,
48,Phase behavior of ASDs based on hydroxypropyl cellulose,2021-12-01,,,10.1016/j.ijpx.2020.100070,"{'given': 'Christian', 'family': 'Luebbert', 'sequence': 'first', 'affiliation': []}",,crossref,
49,What a Waste: Confronting Consumer Food Waste Behavior in Hospitality Settings,2021-11-30,,,10.1108/s1745-354220200000016013,"{'given': 'Tanmay', 'family': 'Sharma', 'sequence': 'first', 'affiliation': []}",,crossref,
50,Work Values and Organizational Performance: The Mediation Effect of Organization Citizenship Behavior in Family Hotels in Emerging Markets,2021-11-30,,,10.1108/s1745-354220200000016005,"{'given': 'Edem M.', 'family': 'Azila-Gbettor', 'sequence': 'first', 'affiliation': []}",,crossref,
51,ANALYSIS OF DOMESTIC VIOLENCE FACTORS FOR CHILDREN WITH SPECIAL EDUCATIONAL NEEDS,,,,10.24144/2524-0609.2020.47.166-170,"{'given': 'Karina', 'family': 'Salata', 'sequence': 'first', 'affiliation': []}",,crossref,
52,Experimental Study on the Behavior of Header End - Plate Connections under Cyclic Loading,,Civil and Structural Engineering,,10.18400/tekderg.674889,"{'given': 'Adem', 'family': 'KARASU', 'sequence': 'first', 'affiliation': []}",,crossref,
53,Solving Eco-Driving Problems Using Indirect Collocation Method and Smooth Representation,2021-11-01,,,10.1109/lcsys.2020.3040690,"{'ORCID': 'http://orcid.org/0000-0002-3269-2684', 'authenticated-orcid': False, 'given': 'Daliang', 'family': 'Shen', 'sequence': 'first', 'affiliation': []}",,crossref,
54,Effect of cognitive training based on virtual reality on the children with autism spectrum disorder,2021-11-01,,,10.1016/j.crbeha.2020.100013,"{'given': 'Jun-Qiang', 'family': 'Zhao', 'sequence': 'first', 'affiliation': []}",,crossref,
55,Adaptation to high-frequency vibrotactile stimulations fails to affect the clock in young children,2021-11-01,,,10.1016/j.crbeha.2021.100018,"{'given': 'Nicola', 'family': 'Domenici', 'sequence': 'first', 'affiliation': []}",,crossref,
56,Thermal degradation of kenaf (Hibiscus cannabinus L.): Impact of torrefaction on pyrolysis kinetics and thermal behavior,2021-11-01,General Energy,,10.1016/j.egyr.2021.01.012,"{'given': 'Byoung-Hwa', 'family': 'Lee', 'sequence': 'first', 'affiliation': []}",,crossref,
57,"Consumer Behavior, Branding and Counterfeiting",2021-11-01,,,10.1142/7441,"{'given': 'Xuemei', 'family': 'Bian', 'sequence': 'first', 'affiliation': [{'name': 'University of HullUK'}]}",,crossref,
58,Psycholinguistic Approaches to Production and Comprehension in Bilingual Adults and Children,2021-10-15,,,10.1075/bct.117,,,crossref,
59,Bilingual reference production,2021-10-15,,,10.1075/bct.117.04tor,,,crossref,
60,Investigating vulnerabilities in grammatical processing of bilinguals,2021-10-15,,,10.1075/bct.117.05pou,,,crossref,
61,Basque-Spanish bilingual children’s expressive and receptive grammatical abilities,2021-10-15,,,10.1075/bct.117.08and,,,crossref,
62,Adjective-noun order in Papiamento-Dutch code-switching,2021-10-15,,,10.1075/bct.117.09pab,,,crossref,
63,Child heritage speakers’ production and comprehension of direct object clitic gender in Spanish,2021-10-15,,,10.1075/bct.117.07shi,,,crossref,
64,"Production, comprehension and repetition of accusative case by monolingual Russian and bilingual Russian-Dutch and Russian-Hebrew-speaking children",2021-10-15,,,10.1075/bct.117.10jan,,,crossref,
65,Psycholinguistic approaches to production and comprehension in bilingual adults and children,2021-10-15,,,10.1075/bct.117.01azp,,,crossref,
66,Processing strategies used by Basque-French bilingual and Basque monolingual children for the production of the subject-agent in Basque,2021-10-15,,,10.1075/bct.117.02dug,,,crossref,
67,Bilingual language control across modalities,2021-10-15,,,10.1075/bct.117.03str,,,crossref,
68,"Dominance, mode, and individual variation in bilingual speech production and perception",2021-10-15,,,10.1075/bct.117.06pic,,,crossref,
69,Wie lassen sich Pflichten rechtfertigen?,2021-10-09,,,10.30965/9783957437082_011,,,crossref,
70,On the Use of Difference of Log-Sum-Exp Neural Networks to Solve Data-Driven Model Predictive Control Tracking Problems,2021-10-01,,,10.1109/lcsys.2020.3032083,"{'ORCID': 'http://orcid.org/0000-0001-8308-4331', 'authenticated-orcid': False, 'given': 'Sven', 'family': 'Bruggemann', 'sequence': 'first', 'affiliation': []}",,crossref,
71,Time-varying risk attitude and the foreign exchange market behavior,2021-10-01,"Business, Management and Accounting (miscellaneous)",,10.1016/j.ribaf.2021.101394,"{'given': 'Qian', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,
72,Retrospective Cross-Sectional Analysis of Treatment Processes of Children Diagnosed with Obsessive Compulsive Disorder,2021-09-17,,,10.47482/acmr.2020.3,"{'given': 'Halil', 'family': 'Kara', 'sequence': 'first', 'affiliation': []}",,crossref,
73,Question–answer sequences in Japanese first encounters,2021-09-15,,,10.1075/pbns.323.10shi,,,crossref,
74,A global modification in avifaunal behavior by use of waste disposal sites (waste dumps/rubbish dumps): A review paper,,,,10.19045/bspab.2021.100062,"{'given': 'Zunaira', 'family': 'Noreen', 'sequence': 'first', 'affiliation': []}",,crossref,
75,"Prevalence of pneumonia associated with measles among infants and children hospitalized in Khyber Teaching Hospital Peshawar, KPK, Pakistan",,,,10.19045/bspab.2021.100072,"{'given': 'Shahid', 'family': 'Khan', 'sequence': 'first', 'affiliation': []}",,crossref,
76,Machine learning guided automatic recognition of crystal boundaries in bainitic/martensitic alloy and relationship between boundary types and ductile-to-brittle transition behavior,2021-09-01,Mechanical Engineering,,10.1016/j.jmst.2020.12.024,"{'given': 'X.C.', 'family': 'Li', 'sequence': 'first', 'affiliation': []}",,crossref,
77,Deformation mechanism and in-situ TEM compression behavior of TB8 β titanium alloy with gradient structure,2021-09-01,Mechanical Engineering,,10.1016/j.jmst.2020.12.037,"{'given': 'Dan', 'family': 'Liu', 'sequence': 'first', 'affiliation': []}",,crossref,
78,Anxiety and depression in parents of children born with esophageal atresia: An international online survey study,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.02.016,"{'given': 'Vuokko', 'family': 'Wallace', 'sequence': 'first', 'affiliation': []}",,crossref,
79,Enhanced damping capacity of ferromagnetic Fe-Ga alloys by introducing structural defects,2021-09-01,Mechanical Engineering,,10.1016/j.jmst.2020.12.061,"{'given': 'Ruihua', 'family': 'Qiao', 'sequence': 'first', 'affiliation': []}",,crossref,
80,Effects of increased attention allocation to threat and safety stimuli on fear extinction and its recall,2021-09-01,Experimental and Cognitive Psychology,,10.1016/j.jbtep.2021.101640,"{'given': 'Zohar', 'family': 'Klein', 'sequence': 'first', 'affiliation': []}",,crossref,
81,School nurses' available education to manage children with asthma at schools: A scoping review,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.01.027,"{'given': 'Zainab', 'family': 'Al Kindi', 'sequence': 'first', 'affiliation': []}",,crossref,
82,The relationship of parental health literacy to health outcomes of children with medical complexity,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.02.014,"{'given': 'Patricia R.', 'family': 'Lawrence', 'sequence': 'first', 'affiliation': []}",,crossref,
83,Correlates of objectively measured sleep and physical activity among Latinx 3-to-5-year old children,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.01.010,"{'given': 'Augustine W.', 'family': 'Kang', 'sequence': 'first', 'affiliation': []}",,crossref,
84,Threat memory devaluation by a dual-task intervention: Testing return of fear and intrusive memory over 48 hours,2021-09-01,Experimental and Cognitive Psychology,,10.1016/j.jbtep.2021.101639,"{'given': 'Elze', 'family': 'Landkroon', 'sequence': 'first', 'affiliation': []}",,crossref,
85,The role of belief in memory amplification for trauma events,2021-09-01,Experimental and Cognitive Psychology,,10.1016/j.jbtep.2021.101652,"{'given': 'Sasha', 'family': 'Nahleen', 'sequence': 'first', 'affiliation': []}",,crossref,
86,Effects of animal-assisted therapy on hospitalized children and teenagers: A systematic review and meta-analysis,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.01.020,"{'given': 'Yongshen', 'family': 'Feng', 'sequence': 'first', 'affiliation': []}",,crossref,
87,Evaluation of hydrogen effect on the fatigue crack growth behavior of medium-Mn steels via in-situ hydrogen plasma charging in an environmental scanning electron microscope,2021-09-01,Mechanical Engineering,,10.1016/j.jmst.2020.12.069,"{'given': 'Di', 'family': 'Wan', 'sequence': 'first', 'affiliation': []}",,crossref,
88,Examining the effects of music-based interventions on pain and anxiety in hospitalized children: An integrative review,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.02.007,"{'given': 'Alexandra A.', 'family': 'Johnson', 'sequence': 'first', 'affiliation': []}",,crossref,
89,An emotional regulation approach to psychosis recovery: The Living Through Psychosis group programme,2021-09-01,Experimental and Cognitive Psychology,,10.1016/j.jbtep.2021.101651,"{'given': 'Aisling', 'family': 'Ryan', 'sequence': 'first', 'affiliation': []}",,crossref,
90,Change talk and sustain talk in treatment of generalized anxiety disorder: A secondary analysis of cognitive behavioral therapy and metacognitive therapy in adult outpatients,2021-09-01,Experimental and Cognitive Psychology,,10.1016/j.jbtep.2021.101650,"{'given': 'Isak', 'family': 'Joramo', 'sequence': 'first', 'affiliation': []}",,crossref,
91,Editorial changes at the Journal of Behavior Therapy and Experimental Psychiatry,2021-09-01,Experimental and Cognitive Psychology,,10.1016/j.jbtep.2021.101649,"{'given': 'Rafaële J.C.', 'family': 'Huntjens', 'sequence': 'first', 'affiliation': []}",,crossref,
92,"The chemosensory pleasure scale for children (CPS-C): Factor structure, reliability, and validity",2021-09-01,Food Science,,10.1016/j.foodqual.2021.104214,"{'given': 'Yi-qi', 'family': 'Qiu', 'sequence': 'first', 'affiliation': []}",,crossref,
93,Reconstruction of the heat transfer coefficients and heat fluxes in heat conduction problems,2021-09-01,Theoretical Computer Science,,10.1016/j.matcom.2021.02.011,"{'given': 'Talaat', 'family': 'Abdelhamid', 'sequence': 'first', 'affiliation': []}",,crossref,
94,Interactions between race/ethnicity and gender on physical activity among US high school students: Youth Risk Behavior Survey 2011–2017,2021-09-01,Pediatrics,,10.1016/j.pedn.2021.02.013,"{'given': 'Nancy M.H.', 'family': 'Pontes', 'sequence': 'first', 'affiliation': []}",,crossref,
95,Dynamic modeling and quantitative diagnosis for dual-impulse behavior of rolling element bearing with a spall on inner race,2021-09-01,Control and Systems Engineering,,10.1016/j.ymssp.2021.107711,"{'given': 'Maolin', 'family': 'Luo', 'sequence': 'first', 'affiliation': []}",,crossref,
96,The Procedural Law Governing Facts and Evidence in International Human Rights Proceedings,2021-08-19,,,10.1163/9789004463134,"{'given': 'Torsten', 'family': 'Stirner', 'sequence': 'first', 'affiliation': []}",,crossref,
97,Kids Those Days: Children in Medieval Culture,2021-08-19,,,10.1163/9789004458260,"{'given': 'Lahney', 'family': 'Preston-Matto', 'sequence': 'first', 'affiliation': []}",,crossref,
98,"An Investigation of the Geometric Thinking Levels of Middle School Mathematics Preservice Teachers According to SOLO Taxonomy: ""Social Distance Problems""",,,,10.17275/per.21.61.8.3,"{'given': 'Mehmet İhsan', 'family': 'YURTYAPAN', 'sequence': 'first', 'affiliation': []}",,crossref,
99,Thermal Hydraulic Behavior of the First ITER CS Module,2021-08-01,Electrical and Electronic Engineering,,10.1109/tasc.2021.3053505,"{'ORCID': 'http://orcid.org/0000-0002-8531-6973', 'authenticated-orcid': False, 'given': 'F.', 'family': 'Gauthier', 'sequence': 'first', 'affiliation': []}",,crossref,
100,Why are world religions so concerned with sexual behavior?,2021-08-01,,,10.1016/j.copsyc.2020.07.030,"{'ORCID': 'http://orcid.org/0000-0001-5102-3585', 'authenticated-orcid': False, 'given': 'Jordan W', 'family': 'Moon', 'sequence': 'first', 'affiliation': []}",,crossref,
101,Kruskal with embedded C-semirings to solve MST problems with partially-ordered costs,2021-08-01,Signal Processing,,10.1016/j.ipl.2021.106107,"{'given': 'Stefano', 'family': 'Bistarelli', 'sequence': 'first', 'affiliation': []}",,crossref,
102,High-temperature wetting behavior of molten Ni-based superalloy on Y2O3 ceramics with different surface microstructures,2021-08-01,Modelling and Simulation,,10.1016/j.jmatprotec.2021.117094,"{'given': 'Qingling', 'family': 'Li', 'sequence': 'first', 'affiliation': []}",,crossref,
103,Dynamic mechanical relaxation behavior of Zr35Hf17.5Ti5.5Al12.5Co7.5Ni12Cu10 high entropy bulk metallic glass,2021-08-01,Mechanical Engineering,,10.1016/j.jmst.2020.11.074,"{'given': 'L.T.', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}",,crossref,
104,Concentration dependent thermo-optical properties and nonlinear optical switching behavior of bimetallic Au-Ag nanoparticles synthesized by femtosecond laser ablation,2021-08-01,Electrical and Electronic Engineering,,10.1016/j.optlastec.2021.107022,"{'ORCID': 'http://orcid.org/0000-0001-8886-1910', 'authenticated-orcid': False, 'given': 'Jessy', 'family': 'Simon', 'sequence': 'first', 'affiliation': []}",,crossref,
105,An effective scheme for solving a class of nonlinear doubly singular boundary value problems through quasilinearization approach,2021-08-01,Applied Mathematics,,10.1016/j.cam.2021.113411,"{'given': 'R.K.', 'family': 'Pandey', 'sequence': 'first', 'affiliation': []}",,crossref,
106,CFD–DEM–VDGM method for simulation of particle fluidization behavior in multi-ring inclined-hole spouted fluidized bed,2021-08-01,General Materials Science,,10.1016/j.partic.2021.01.004,"{'given': 'Meng', 'family': 'Chen', 'sequence': 'first', 'affiliation': []}",,crossref,
107,Applying dense-sampling methods to reveal dynamic endocrine modulation of the nervous system,2021-08-01,,,10.1016/j.cobeha.2021.01.012,"{'given': 'Laura', 'family': 'Pritschet', 'sequence': 'first', 'affiliation': []}",,crossref,
